Datacode,RecType,RecYear,Season,RecDate,Watershed,Block,Plot,Sppnum,Taxa,Cover,Comments
CME01,1,2019,fall,8/5/2019,N1A,A,1,2,Andropogon gerardii,40,
CME01,1,2019,fall,8/5/2019,N1A,A,1,11,Eragrostis spectabilis,7,
CME01,1,2019,fall,8/5/2019,N1A,A,1,18,Sorghastrum nutans,30,
CME01,1,2019,fall,8/5/2019,N1A,A,1,46,Ambrosia psilostachya,1,
CME01,1,2019,fall,8/5/2019,N1A,A,1,52,Artemisia ludoviciana,2,
CME01,1,2019,spring,6/1/2019,N1A,A,3,34,Carex meadii,5,
CME01,1,2019,spring,6/1/2019,N1A,A,3,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,A,3,143,Lespedeza violacea,85,
CME01,1,2019,spring,6/1/2019,N1A,A,3,193,Euphorbia dentata,1,
CME01,1,2019,fall,8/5/2019,N1A,A,3,140,Vernonia baldwinii,5,
CME01,1,2019,fall,8/5/2019,N1A,A,3,127,Solidago altissima,35,
CME01,1,2019,fall,8/5/2019,N1A,A,3,143,Lespedeza violacea,85,
CME01,1,2019,fall,8/5/2019,N1A,A,3,86,Brickellia eupatorioides,2,
CME01,1,2019,fall,8/5/2019,N1A,A,3,46,Ambrosia psilostachya,2,
CME01,1,2019,fall,8/5/2019,N1A,A,3,300,Euphorbia nutans,1,
CME01,1,2019,fall,8/5/2019,N1A,A,3,193,Euphorbia dentata,2,
CME01,1,2019,fall,8/5/2019,N1A,A,3,18,Sorghastrum nutans,40,
CME01,1,2019,fall,8/5/2019,N1A,A,3,2,Andropogon gerardii,40,
CME01,1,2019,spring,6/1/2019,N1A,A,6,34,Carex meadii,14,
CME01,1,2019,spring,6/1/2019,N1A,A,6,33,Carex inops,1,
CME01,1,2019,spring,6/1/2019,N1A,A,6,429,Ipomoea hederacea,2,
CME01,1,2019,spring,6/1/2019,N1A,A,6,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,A,6,143,Lespedeza violacea,65,
CME01,1,2019,spring,6/1/2019,N1A,A,6,111,Physalis pumila,1,
CME01,1,2019,spring,6/1/2019,N1A,A,6,139,Verbena stricta,1,
CME01,1,2019,spring,6/1/2019,N1A,A,6,193,Euphorbia dentata,1,
CME01,1,2019,fall,8/5/2019,N1A,A,6,140,Vernonia baldwinii,12,
CME01,1,2019,fall,8/5/2019,N1A,A,6,127,Solidago altissima,80,
CME01,1,2019,fall,8/5/2019,N1A,A,6,143,Lespedeza violacea,50,
CME01,1,2019,fall,8/5/2019,N1A,A,6,90,Lespedeza capitata,1,
CME01,1,2019,fall,8/5/2019,N1A,A,6,86,Brickellia eupatorioides,5,
CME01,1,2019,fall,8/5/2019,N1A,A,6,300,Euphorbia nutans,1,
CME01,1,2019,fall,8/5/2019,N1A,A,6,50,Apocynum cannabinum,1,
CME01,1,2019,fall,8/5/2019,N1A,A,6,46,Ambrosia psilostachya,9,
CME01,1,2019,fall,8/5/2019,N1A,A,6,193,Euphorbia dentata,1,
CME01,1,2019,fall,8/5/2019,N1A,A,6,18,Sorghastrum nutans,25,
CME01,1,2019,fall,8/5/2019,N1A,A,6,11,Eragrostis spectabilis,6,
CME01,1,2019,fall,8/5/2019,N1A,A,6,14,Dichanthelium oligosanthes,1,
CME01,1,2019,fall,8/5/2019,N1A,A,6,4,Bouteloua curtipendula,5,
CME01,1,2019,fall,8/5/2019,N1A,A,6,2,Andropogon gerardii,35,
CME01,1,2019,spring,6/1/2019,N1A,A,5,31,Carex brevior,2,
CME01,1,2019,spring,6/1/2019,N1A,A,5,34,Carex meadii,7,
CME01,1,2019,spring,6/1/2019,N1A,A,5,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,A,5,143,Lespedeza violacea,90,
CME01,1,2019,spring,6/1/2019,N1A,A,5,103,Oxalis violacea,2,
CME01,1,2019,spring,6/1/2019,N1A,A,5,111,Physalis pumila,1,
CME01,1,2019,spring,6/1/2019,N1A,A,5,234,Rhus glabra,4,
CME01,1,2019,spring,6/1/2019,N1A,A,5,42,Rosa arkansana,3,
CME01,1,2019,spring,6/1/2019,N1A,A,5,82,Hedeoma hispida,1,
CME01,1,2019,fall,8/5/2019,N1A,A,5,140,Vernonia baldwinii,5,
CME01,1,2019,fall,8/5/2019,N1A,A,5,127,Solidago altissima,80,
CME01,1,2019,fall,8/5/2019,N1A,A,5,42,Rosa arkansana,5,
CME01,1,2019,fall,8/5/2019,N1A,A,5,234,Rhus glabra,6,
CME01,1,2019,fall,8/5/2019,N1A,A,5,86,Brickellia eupatorioides,2,
CME01,1,2019,fall,8/5/2019,N1A,A,5,46,Ambrosia psilostachya,3,
CME01,1,2019,fall,8/5/2019,N1A,A,5,18,Sorghastrum nutans,35,
CME01,1,2019,fall,8/5/2019,N1A,A,5,3,Schizachyrium scoparium,2,
CME01,1,2019,fall,8/5/2019,N1A,A,5,15,Panicum virgatum,3,
CME01,1,2019,fall,8/5/2019,N1A,A,5,2,Andropogon gerardii,50,
CME01,1,2019,spring,6/1/2019,N1A,B,6,34,Carex meadii,7,
CME01,1,2019,spring,6/1/2019,N1A,B,6,55,Asclepias verticillata,1,
CME01,1,2019,spring,6/1/2019,N1A,B,6,433,Desmodium paniculatum,1,
CME01,1,2019,spring,6/1/2019,N1A,B,6,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,B,6,143,Lespedeza violacea,22,
CME01,1,2019,spring,6/1/2019,N1A,B,6,126,Solanum carolinense,1,
CME01,1,2019,spring,6/1/2019,N1A,B,6,139,Verbena stricta,1,
CME01,1,2019,fall,8/5/2019,N1A,B,6,140,Vernonia baldwinii,12,
CME01,1,2019,fall,8/5/2019,N1A,B,6,127,Solidago altissima,50,
CME01,1,2019,fall,8/5/2019,N1A,B,6,126,Solanum carolinense,2,
CME01,1,2019,fall,8/5/2019,N1A,B,6,143,Lespedeza violacea,35,
CME01,1,2019,fall,8/5/2019,N1A,B,6,90,Lespedeza capitata,2,
CME01,1,2019,fall,8/5/2019,N1A,B,6,151,Kummerowia stipulacea,1,
CME01,1,2019,fall,8/5/2019,N1A,B,6,86,Brickellia eupatorioides,4,
CME01,1,2019,fall,8/5/2019,N1A,B,6,433,Desmodium paniculatum,3,
CME01,1,2019,fall,8/5/2019,N1A,B,6,72,Croton monanthogynus,1,
CME01,1,2019,fall,8/5/2019,N1A,B,6,18,Sorghastrum nutans,10,
CME01,1,2019,fall,8/5/2019,N1A,B,6,2,Andropogon gerardii,50,
CME01,1,2019,spring,6/1/2019,N1A,B,3,14,Dichanthelium oligosanthes,5,
CME01,1,2019,spring,6/1/2019,N1A,B,3,34,Carex meadii,2,
CME01,1,2019,spring,6/1/2019,N1A,B,3,33,Carex inops,1,
CME01,1,2019,spring,6/1/2019,N1A,B,3,106,Dalea candida,1,
CME01,1,2019,spring,6/1/2019,N1A,B,3,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,B,3,143,Lespedeza violacea,32,
CME01,1,2019,spring,6/1/2019,N1A,B,3,120,Ruellia humilis,1,
CME01,1,2019,spring,6/1/2019,N1A,B,3,253,Mirabilis linearis,1,
CME01,1,2019,fall,8/5/2019,N1A,B,3,140,Vernonia baldwinii,5,
CME01,1,2019,fall,8/5/2019,N1A,B,3,127,Solidago altissima,25,
CME01,1,2019,fall,8/5/2019,N1A,B,3,126,Solanum carolinense,1,
CME01,1,2019,fall,8/5/2019,N1A,B,3,143,Lespedeza violacea,55,
CME01,1,2019,fall,8/5/2019,N1A,B,3,90,Lespedeza capitata,2,
CME01,1,2019,fall,8/5/2019,N1A,B,3,46,Ambrosia psilostachya,3,
CME01,1,2019,fall,8/5/2019,N1A,B,3,300,Euphorbia nutans,1,
CME01,1,2019,fall,8/5/2019,N1A,B,3,21,Sporobolus compositus,1,
CME01,1,2019,fall,8/5/2019,N1A,B,3,18,Sorghastrum nutans,35,
CME01,1,2019,fall,8/5/2019,N1A,B,3,14,Dichanthelium oligosanthes,2,
CME01,1,2019,fall,8/5/2019,N1A,B,3,2,Andropogon gerardii,65,
CME01,1,2019,spring,6/1/2019,N1A,B,5,519,Carex austrina,2,
CME01,1,2019,spring,6/1/2019,N1A,B,5,31,Carex brevior,1,
CME01,1,2019,spring,6/1/2019,N1A,B,5,34,Carex meadii,2,
CME01,1,2019,spring,6/1/2019,N1A,B,5,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,B,5,143,Lespedeza violacea,85,
CME01,1,2019,spring,6/1/2019,N1A,B,5,158,Ulmus americana,1,
CME01,1,2019,fall,8/5/2019,N1A,B,5,140,Vernonia baldwinii,5,
CME01,1,2019,fall,8/5/2019,N1A,B,5,127,Solidago altissima,60,
CME01,1,2019,fall,8/5/2019,N1A,B,5,143,Lespedeza violacea,92,
CME01,1,2019,fall,8/5/2019,N1A,B,5,90,Lespedeza capitata,3,
CME01,1,2019,fall,8/5/2019,N1A,B,5,433,Desmodium paniculatum,5,
CME01,1,2019,fall,8/5/2019,N1A,B,5,58,Symphyotrichum ericoides,5,
CME01,1,2019,fall,8/5/2019,N1A,B,5,46,Ambrosia psilostachya,6,
CME01,1,2019,fall,8/5/2019,N1A,B,5,18,Sorghastrum nutans,8,
CME01,1,2019,fall,8/5/2019,N1A,B,5,14,Dichanthelium oligosanthes,2,
CME01,1,2019,fall,8/5/2019,N1A,B,5,4,Bouteloua curtipendula,2,
CME01,1,2019,fall,8/5/2019,N1A,B,5,2,Andropogon gerardii,60,
CME01,1,2019,spring,6/1/2019,N1A,B,2,14,Dichanthelium oligosanthes,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,55,Asclepias verticillata,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,72,Croton monanthogynus,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,143,Lespedeza violacea,28,
CME01,1,2019,spring,6/1/2019,N1A,B,2,80,Euphorbia glyptosperma,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,103,Oxalis violacea,3,
CME01,1,2019,spring,6/1/2019,N1A,B,2,111,Physalis pumila,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,120,Ruellia humilis,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,139,Verbena stricta,1,
CME01,1,2019,spring,6/1/2019,N1A,B,2,158,Ulmus americana,1,
CME01,1,2019,fall,8/5/2019,N1A,B,2,140,Vernonia baldwinii,8,
CME01,1,2019,fall,8/5/2019,N1A,B,2,127,Solidago altissima,35,
CME01,1,2019,fall,8/5/2019,N1A,B,2,90,Lespedeza capitata,1,
CME01,1,2019,fall,8/5/2019,N1A,B,2,86,Brickellia eupatorioides,3,
CME01,1,2019,fall,8/5/2019,N1A,B,2,58,Symphyotrichum ericoides,3,
CME01,1,2019,fall,8/5/2019,N1A,B,2,46,Ambrosia psilostachya,1,
CME01,1,2019,fall,8/5/2019,N1A,B,2,40,Amorpha canescens,2,
CME01,1,2019,fall,8/5/2019,N1A,B,2,18,Sorghastrum nutans,4,
CME01,1,2019,fall,8/5/2019,N1A,B,2,3,Schizachyrium scoparium,8,
CME01,1,2019,fall,8/5/2019,N1A,B,2,2,Andropogon gerardii,70,
CME01,1,2019,spring,6/1/2019,N1A,B,4,6,Bouteloua hirsuta,2,
CME01,1,2019,spring,6/1/2019,N1A,B,4,32,Carex gravida,2,
CME01,1,2019,spring,6/1/2019,N1A,B,4,34,Carex meadii,3,
CME01,1,2019,spring,6/1/2019,N1A,B,4,33,Carex inops,2,
CME01,1,2019,spring,6/1/2019,N1A,B,4,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,B,4,143,Lespedeza violacea,1,
CME01,1,2019,spring,6/1/2019,N1A,B,4,103,Oxalis violacea,18,
CME01,1,2019,spring,6/1/2019,N1A,B,4,111,Physalis pumila,2,
CME01,1,2019,spring,6/1/2019,N1A,B,4,120,Ruellia humilis,1,
CME01,1,2019,spring,6/1/2019,N1A,B,4,139,Verbena stricta,7,
CME01,1,2019,spring,6/1/2019,N1A,B,4,158,Ulmus americana,1,
CME01,1,2019,fall,8/5/2019,N1A,B,4,140,Vernonia baldwinii,7,
CME01,1,2019,fall,8/5/2019,N1A,B,4,139,Verbena stricta,8,
CME01,1,2019,fall,8/5/2019,N1A,B,4,127,Solidago altissima,32,
CME01,1,2019,fall,8/5/2019,N1A,B,4,120,Ruellia humilis,1,
CME01,1,2019,fall,8/5/2019,N1A,B,4,111,Physalis pumila,3,
CME01,1,2019,fall,8/5/2019,N1A,B,4,90,Lespedeza capitata,6,
CME01,1,2019,fall,8/5/2019,N1A,B,4,86,Brickellia eupatorioides,2,
CME01,1,2019,fall,8/5/2019,N1A,B,4,300,Euphorbia nutans,1,
CME01,1,2019,fall,8/5/2019,N1A,B,4,58,Symphyotrichum ericoides,6,
CME01,1,2019,fall,8/5/2019,N1A,B,4,46,Ambrosia psilostachya,4,
CME01,1,2019,fall,8/5/2019,N1A,B,4,18,Sorghastrum nutans,15,
CME01,1,2019,fall,8/5/2019,N1A,B,4,3,Schizachyrium scoparium,22,
CME01,1,2019,fall,8/5/2019,N1A,B,4,4,Bouteloua curtipendula,32,
CME01,1,2019,fall,8/5/2019,N1A,B,4,2,Andropogon gerardii,40,
CME01,1,2019,spring,6/1/2019,N1A,B,1,31,Carex brevior,1,
CME01,1,2019,spring,6/1/2019,N1A,B,1,32,Carex gravida,6,
CME01,1,2019,spring,6/1/2019,N1A,B,1,33,Carex inops,4,
CME01,1,2019,spring,6/1/2019,N1A,B,1,69,Callirhoe involucrata,7,
CME01,1,2019,spring,6/1/2019,N1A,B,1,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,B,1,143,Lespedeza violacea,95,
CME01,1,2019,spring,6/1/2019,N1A,B,1,120,Ruellia humilis,1,
CME01,1,2019,fall,8/5/2019,N1A,B,1,158,Ulmus americana,2,
CME01,1,2019,fall,8/5/2019,N1A,B,1,127,Solidago altissima,75,
CME01,1,2019,fall,8/5/2019,N1A,B,1,120,Ruellia humilis,1,
CME01,1,2019,fall,8/5/2019,N1A,B,1,90,Lespedeza capitata,1,
CME01,1,2019,fall,8/5/2019,N1A,B,1,69,Callirhoe involucrata,1,
CME01,1,2019,fall,8/5/2019,N1A,B,1,58,Symphyotrichum ericoides,4,
CME01,1,2019,fall,8/5/2019,N1A,B,1,46,Ambrosia psilostachya,1,
CME01,1,2019,fall,8/5/2019,N1A,B,1,18,Sorghastrum nutans,35,
CME01,1,2019,fall,8/5/2019,N1A,B,1,3,Schizachyrium scoparium,5,
CME01,1,2019,fall,8/5/2019,N1A,B,1,14,Dichanthelium oligosanthes,1,
CME01,1,2019,fall,8/5/2019,N1A,B,1,2,Andropogon gerardii,65,
CME01,1,2019,spring,6/1/2019,N1A,C,2,14,Dichanthelium oligosanthes,1,
CME01,1,2019,spring,6/1/2019,N1A,C,2,34,Carex meadii,11,
CME01,1,2019,spring,6/1/2019,N1A,C,2,33,Carex inops,1,
CME01,1,2019,spring,6/1/2019,N1A,C,2,165,Cyperus spp.,1,
CME01,1,2019,spring,6/1/2019,N1A,C,2,55,Asclepias verticillata,1,
CME01,1,2019,spring,6/1/2019,N1A,C,2,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,C,2,143,Lespedeza violacea,15,
CME01,1,2019,spring,6/1/2019,N1A,C,2,234,Rhus glabra,9,
CME01,1,2019,spring,6/1/2019,N1A,C,2,120,Ruellia humilis,2,
CME01,1,2019,spring,6/1/2019,N1A,C,2,139,Verbena stricta,1,
CME01,1,2019,fall,8/5/2019,N1A,C,2,140,Vernonia baldwinii,2,
CME01,1,2019,fall,8/5/2019,N1A,C,2,127,Solidago altissima,20,
CME01,1,2019,fall,8/5/2019,N1A,C,2,111,Physalis pumila,1,
CME01,1,2019,fall,8/5/2019,N1A,C,2,90,Lespedeza capitata,1,
CME01,1,2019,fall,8/5/2019,N1A,C,2,86,Brickellia eupatorioides,3,
CME01,1,2019,fall,8/5/2019,N1A,C,2,58,Symphyotrichum ericoides,5,
CME01,1,2019,fall,8/5/2019,N1A,C,2,46,Ambrosia psilostachya,4,
CME01,1,2019,fall,8/5/2019,N1A,C,2,193,Euphorbia dentata,1,
CME01,1,2019,fall,8/5/2019,N1A,C,2,21,Sporobolus compositus,2,
CME01,1,2019,fall,8/5/2019,N1A,C,2,18,Sorghastrum nutans,4,
CME01,1,2019,fall,8/5/2019,N1A,C,2,3,Schizachyrium scoparium,65,
CME01,1,2019,fall,8/5/2019,N1A,C,2,2,Andropogon gerardii,15,
CME01,1,2019,spring,6/1/2019,N1A,C,6,14,Dichanthelium oligosanthes,1,
CME01,1,2019,spring,6/1/2019,N1A,C,6,429,Ipomoea hederacea,2,
CME01,1,2019,spring,6/1/2019,N1A,C,6,519,Carex austrina,2,
CME01,1,2019,spring,6/1/2019,N1A,C,6,55,Asclepias verticillata,1,
CME01,1,2019,spring,6/1/2019,N1A,C,6,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,C,6,151,Kummerowia stipulacea,1,
CME01,1,2019,spring,6/1/2019,N1A,C,6,143,Lespedeza violacea,50,
CME01,1,2019,spring,6/1/2019,N1A,C,6,103,Oxalis violacea,1,
CME01,1,2019,spring,6/1/2019,N1A,C,6,111,Physalis pumila,2,
CME01,1,2019,spring,6/1/2019,N1A,C,6,234,Rhus glabra,1,
CME01,1,2019,spring,6/1/2019,N1A,C,6,120,Ruellia humilis,1,
CME01,1,2019,fall,8/5/2019,N1A,C,6,140,Vernonia baldwinii,14,
CME01,1,2019,fall,8/5/2019,N1A,C,6,127,Solidago altissima,40,
CME01,1,2019,fall,8/5/2019,N1A,C,6,120,Ruellia humilis,2,
CME01,1,2019,fall,8/5/2019,N1A,C,6,42,Rosa arkansana,3,
CME01,1,2019,fall,8/5/2019,N1A,C,6,111,Physalis pumila,1,
CME01,1,2019,fall,8/5/2019,N1A,C,6,143,Lespedeza violacea,60,
CME01,1,2019,fall,8/5/2019,N1A,C,6,86,Brickellia eupatorioides,2,
CME01,1,2019,fall,8/5/2019,N1A,C,6,300,Euphorbia nutans,1,
CME01,1,2019,fall,8/5/2019,N1A,C,6,58,Symphyotrichum ericoides,12,
CME01,1,2019,fall,8/5/2019,N1A,C,6,55,Asclepias verticillata,1,
CME01,1,2019,fall,8/5/2019,N1A,C,6,46,Ambrosia psilostachya,4,
CME01,1,2019,fall,8/5/2019,N1A,C,6,18,Sorghastrum nutans,8,
CME01,1,2019,fall,8/5/2019,N1A,C,6,3,Schizachyrium scoparium,60,
CME01,1,2019,fall,8/5/2019,N1A,C,6,14,Dichanthelium oligosanthes,2,
CME01,1,2019,fall,8/5/2019,N1A,C,6,4,Bouteloua curtipendula,8,
CME01,1,2019,fall,8/5/2019,N1A,C,6,2,Andropogon gerardii,25,
CME01,1,2019,spring,6/1/2019,N1A,C,3,14,Dichanthelium oligosanthes,2,
CME01,1,2019,spring,6/1/2019,N1A,C,3,34,Carex meadii,4,
CME01,1,2019,spring,6/1/2019,N1A,C,3,33,Carex inops,1,
CME01,1,2019,spring,6/1/2019,N1A,C,3,165,Cyperus spp.,1,
CME01,1,2019,spring,6/1/2019,N1A,C,3,40,Amorpha canescens,7,
CME01,1,2019,spring,6/1/2019,N1A,C,3,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,C,3,143,Lespedeza violacea,65,
CME01,1,2019,spring,6/1/2019,N1A,C,3,194,Physalis heterophylla,2,
CME01,1,2019,spring,6/1/2019,N1A,C,3,111,Physalis pumila,1,
CME01,1,2019,spring,6/1/2019,N1A,C,3,112,Physalis virginiana,2,
CME01,1,2019,spring,6/1/2019,N1A,C,3,234,Rhus glabra,18,
CME01,1,2019,spring,6/1/2019,N1A,C,3,139,Verbena stricta,1,
CME01,1,2019,fall,8/5/2019,N1A,C,3,140,Vernonia baldwinii,7,
CME01,1,2019,fall,8/5/2019,N1A,C,3,127,Solidago altissima,25,
CME01,1,2019,fall,8/5/2019,N1A,C,3,42,Rosa arkansana,35,
CME01,1,2019,fall,8/5/2019,N1A,C,3,92,Linum sulcatum,1,
CME01,1,2019,fall,8/5/2019,N1A,C,3,143,Lespedeza violacea,65,
CME01,1,2019,fall,8/5/2019,N1A,C,3,90,Lespedeza capitata,2,
CME01,1,2019,fall,8/5/2019,N1A,C,3,86,Brickellia eupatorioides,3,
CME01,1,2019,fall,8/5/2019,N1A,C,3,52,Artemisia ludoviciana,2,
CME01,1,2019,fall,8/5/2019,N1A,C,3,46,Ambrosia psilostachya,9,
CME01,1,2019,fall,8/5/2019,N1A,C,3,40,Amorpha canescens,10,
CME01,1,2019,fall,8/5/2019,N1A,C,3,18,Sorghastrum nutans,20,
CME01,1,2019,fall,8/5/2019,N1A,C,3,3,Schizachyrium scoparium,35,
CME01,1,2019,fall,8/5/2019,N1A,C,3,14,Dichanthelium oligosanthes,1,
CME01,1,2019,fall,8/5/2019,N1A,C,3,4,Bouteloua curtipendula,3,
CME01,1,2019,fall,8/5/2019,N1A,C,3,2,Andropogon gerardii,25,
CME01,1,2019,spring,6/1/2019,N1A,C,1,31,Carex brevior,2,
CME01,1,2019,spring,6/1/2019,N1A,C,1,34,Carex meadii,18,
CME01,1,2019,spring,6/1/2019,N1A,C,1,300,Euphorbia nutans,1,
CME01,1,2019,spring,6/1/2019,N1A,C,1,84,Hybanthus verticillatus,1,
CME01,1,2019,spring,6/1/2019,N1A,C,1,143,Lespedeza violacea,25,
CME01,1,2019,spring,6/1/2019,N1A,C,1,103,Oxalis violacea,4,
CME01,1,2019,spring,6/1/2019,N1A,C,1,120,Ruellia humilis,1,
CME01,1,2019,spring,6/1/2019,N1A,C,1,139,Verbena stricta,1,
CME01,1,2019,fall,8/5/2019,N1A,C,1,127,Solidago altissima,90,
CME01,1,2019,fall,8/5/2019,N1A,C,1,120,Ruellia humilis,2,
CME01,1,2019,fall,8/5/2019,N1A,C,1,143,Lespedeza violacea,60,
CME01,1,2019,fall,8/5/2019,N1A,C,1,86,Brickellia eupatorioides,5,
CME01,1,2019,fall,8/5/2019,N1A,C,1,300,Euphorbia nutans,1,
CME01,1,2019,fall,8/5/2019,N1A,C,1,46,Ambrosia psilostachya,7,
CME01,1,2019,fall,8/5/2019,N1A,C,1,21,Sporobolus compositus,2,
CME01,1,2019,fall,8/5/2019,N1A,C,1,18,Sorghastrum nutans,12,
CME01,1,2019,fall,8/5/2019,N1A,C,1,3,Schizachyrium scoparium,6,
CME01,1,2019,fall,8/5/2019,N1A,C,1,2,Andropogon gerardii,95,
CME01,1,2019,spring,6/1/2019,N1A,C,4,158,Ulmus americana,1,
