id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
307146,2011-04-30,2011-04-30,,Eastern Time (US & Canada),13167,arleigh,Arleigh Birchler,2013-06-21 20:11:38 UTC,2017-01-18 18:28:08 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/307146,https://inaturalist-open-data.s3.amazonaws.com/photos/381012/medium.JPG,,"communities of the coastal zone, wet savannas of the coastal plain, sandy woodlands of the coastal plain, low elevation dry and dry-mesic forests and woodlands","Pinus palustris (long-leaf pine), Pinaceae, Canopy Tree, 2 to 800 feet, blooms Mar-Apr
",1,0,false,,Carolina Beach State Park,34.047824,-77.912121,880,,,,28860,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
308518,2013-06-15,2013-06-15,,Central Time (US & Canada),9531,kucycads,Kenneth Bader,2013-06-22 21:30:22 UTC,2015-03-23 13:15:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/308518,https://inaturalist-open-data.s3.amazonaws.com/photos/382774/medium.JPG,,"","",1,0,false,,"Lynchburg Savannah Preserve, SC",34.054082,-80.148354,2685,,,,10000,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
308615,2013-06-17,2013-06-17,,Central Time (US & Canada),9531,kucycads,Kenneth Bader,2013-06-22 22:35:31 UTC,2015-03-23 13:15:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/308615,https://inaturalist-open-data.s3.amazonaws.com/photos/382908/medium.JPG,,"","",1,0,false,,Carolina Sandhills National Wildlife Refuge,34.591679,-80.248975,1550,,,,10000,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
311554,Tue Jun 25 2013 12:19:16 GMT-0400 (EDT),2013-06-25,2013-06-25 16:19:16 UTC,Eastern Time (US & Canada),10015,paleo_naturalist,Dr Austin Hendy,2013-06-25 17:28:09 UTC,2018-12-22 01:37:35 UTC,research,,http://www.inaturalist.org/observations/311554,http://static.inaturalist.org/photos/386602/medium.jpg,,"","",1,0,false,,"F D Roosevelt State Park, Warm Springs, Georgia, US",32.881623,-84.686928,5,,,,5,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
327079,2003-9-9,2003-09-09,,Eastern Time (US & Canada),12796,scadwell,Suzanne Cadwell,2013-07-10 10:25:37 UTC,2017-04-22 23:33:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/327079,https://inaturalist-open-data.s3.amazonaws.com/photos/407262/medium.jpg,,"","",1,0,false,,"Weymouth Woods-Sandhills Nature Preserve, Southern Pines, NC",35.151994,-79.368517,475,,,,28720,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
337529,2013-07-18,2013-07-18,,Eastern Time (US & Canada),6570,rjm2,Randy Mitchell,2013-07-18 22:39:23 UTC,2017-01-18 18:29:35 UTC,research,CC-BY,http://www.inaturalist.org/observations/337529,http://static.inaturalist.org/photos/420434/medium.JPG,,"","Dominant in longleaf pine savanna.  Mostly canopy trees, and fewer 2m saplings.  Fire in area within last few years - dark marks on bark, some singed down wood, shrubs in nearby pocosin dead but standing (no leaves)",1,0,false,,green swamp preserve nc,34.092854,-78.288531,3518,,,,28860,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
341875,2013-07-20,2013-07-20,,Central Time (US & Canada),9531,kucycads,Kenneth Bader,2013-07-22 23:39:00 UTC,2016-11-16 15:43:48 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/341875,https://inaturalist-open-data.s3.amazonaws.com/photos/425471/medium.JPG,,"","",1,0,false,,"Pitcher Plant Trail, Big Thicket National Preserve",30.582214,-94.338741,457,,,,29343,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
367093,2013-08-11,2013-08-11,,Eastern Time (US & Canada),13444,vicfazio3,Victor W Fazio III,2013-08-16 18:29:15 UTC,2020-05-21 13:31:09 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/367093,https://inaturalist-open-data.s3.amazonaws.com/photos/458678/medium.jpg,,"","",2,0,false,,"Okefenokee Swamp N.W.R. - visitor center, GA",30.729005,-82.137567,7,,,,7,,open,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
403003,Thu Sep 19 2013 12:15:02 GMT-0400 (EDT),2013-09-19,2013-09-19 16:15:02 UTC,Eastern Time (US & Canada),13518,milopyne,Milo Pyne,2013-09-20 10:17:53 UTC,2017-04-14 18:37:03 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/403003,http://static.inaturalist.org/photos/506272/medium.jpg,,"","",1,0,false,3,"27606, Raleigh, North Carolina, US",35.73402,-78.703654,5,,,,28635,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
426267,Fri Oct 11 2013 13:09:24 GMT-0500 (CDT),2013-10-11,2013-10-11 18:09:24 UTC,Central Time (US & Canada),19012,jsinghurst,Jason Singhurst,2013-10-12 04:04:36 UTC,2017-07-06 23:11:45 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/426267,https://inaturalist-open-data.s3.amazonaws.com/photos/536882/medium.jpg,,"","",1,0,false,3,"Texas, US",30.97972,-94.481387,5,,,,29291,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
426284,Fri Oct 11 2013 14:04:37 GMT-0500 (CDT),2013-10-11,2013-10-11 19:04:37 UTC,Central Time (US & Canada),19012,jsinghurst,Jason Singhurst,2013-10-12 04:04:48 UTC,2016-11-21 20:58:12 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/426284,https://inaturalist-open-data.s3.amazonaws.com/photos/536901/medium.jpg,,"","",1,0,false,3,"Texas, US",30.980896,-94.467403,5,,,,29291,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
432045,Thu Oct 17 2013 11:35:04 GMT-0400 (EDT),2013-10-17,2013-10-17 15:35:04 UTC,Eastern Time (US & Canada),5995,kcopas,Kyle Copas,2013-10-18 00:57:55 UTC,2020-06-11 05:58:42 UTC,research,CC0,http://www.inaturalist.org/observations/432045,https://inaturalist-open-data.s3.amazonaws.com/photos/544473/medium.jpg,,"","",1,0,false,3,"24244–24366 Thomas Woods Trl, Zuni, VA, US",36.814976,-76.854356,5,,,,5,,open,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
499330,2014-01-11 7:22:16 AM CST,2014-01-11,2014-01-11 13:22:16 UTC,Central Time (US & Canada),18446,royaltyler,Royal Tyler,2014-01-12 03:24:39 UTC,2018-04-01 17:14:03 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/499330,https://inaturalist-open-data.s3.amazonaws.com/photos/635209/medium.jpg,,"","",1,0,false,,"Louisiana, US",31.491674,-93.077125,10,,,,10,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
502096,2013-11-18,2013-11-18,,Central Time (US & Canada),25202,txspecies,Mona Halvorsen,2014-01-15 21:01:12 UTC,2020-06-18 17:06:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/502096,https://inaturalist-open-data.s3.amazonaws.com/photos/639027/medium.jpg,,"","",2,0,false,,"Texas, US",30.316628,-94.372169,,,,,,,open,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
508444,2009-04-20,2009-04-20,,Eastern Time (US & Canada),12610,susanelliott,Susan Elliott,2014-01-23 19:38:30 UTC,2021-09-29 18:43:59 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/508444,https://inaturalist-open-data.s3.amazonaws.com/photos/647332/medium.jpg,,"","",1,0,false,,Big Thicket National Preserve,30.479376,-94.350414,915,,,,915,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
558717,Fri Mar 07 2014 17:07:26 GMT-0500 (EST),2014-03-07,2014-03-07 22:07:26 UTC,Eastern Time (US & Canada),12512,chrisgoforth,Chris Goforth,2014-03-09 02:05:06 UTC,2021-09-29 18:43:27 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/558717,http://static.inaturalist.org/photos/712135/medium.jpg,,"","",1,0,false,3,"4308–4340 Sweet Home Church Rd, Elizabethtown, NC, US",34.688373,-78.588143,19,,,,19,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
618815,2014-04-10 18:34:17,2014-04-10,2014-04-10 22:34:17 UTC,Eastern Time (US & Canada),2370,ctracey,Christopher Tracey,2014-04-11 04:38:05 UTC,2023-03-09 21:01:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/618815,https://inaturalist-open-data.s3.amazonaws.com/photos/778157/medium.JPG,,"","",1,0,false,,"Saint Tammany, Louisiana, United States",30.2829913889,-89.9201430556,,,,,,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
624253,2014-04-05,2014-04-05,,Saskatchewan,35006,sienna,Sarah Vinge-Mazer,2014-04-14 17:28:03 UTC,2018-06-26 23:08:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/624253,https://inaturalist-open-data.s3.amazonaws.com/photos/785240/medium.JPG,,"","",1,0,false,,Sandy Hollow WMA,30.802149,-90.376727,89,,,,89,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
648925,2014-04-29 11:39:47 AM EDT,2014-04-29,2014-04-29 15:39:47 UTC,Eastern Time (US & Canada),14660,gparkins,Grant Parkins,2014-04-29 20:09:25 UTC,2017-01-18 18:39:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/648925,https://inaturalist-open-data.s3.amazonaws.com/photos/818533/medium.jpg,,"",In Weymouth Woods State Nature Preserve,1,0,false,2,"North Carolina, US",35.150507,-79.364363,15,,,,28720,,,false,gps,gps,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
693470,2014-05-17 09:35:48,2014-05-17,2014-05-17 14:35:48 UTC,Central Time (US & Canada),33154,siphonophora,naomi,2014-05-22 21:52:32 UTC,2016-09-17 21:43:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/693470,https://inaturalist-open-data.s3.amazonaws.com/photos/870723/medium.jpg,,"","",1,0,false,,"Henleyfield, Mississippi, United States",30.697133,-89.763959,1865,,,,10000,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
700176,Mon May 26 2014 14:18:19 GMT-0500 (CDT),2014-05-26,2014-05-26 19:18:19 UTC,Central Time (US & Canada),39790,courtneywchandler,Courtney Chandler,2014-05-27 00:19:10 UTC,2019-06-22 23:34:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/700176,https://inaturalist-open-data.s3.amazonaws.com/photos/878210/medium.jpg,,"","",2,0,false,3,"Talladega National Forest, Talladega, AL, US",33.3306916667,-86.00805,,,,,,,open,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
702329,5/19/2013,2013-05-19,,Eastern Time (US & Canada),32654,eraskin,Evan M. Raskin,2014-05-28 02:07:42 UTC,2017-01-18 18:43:26 UTC,research,CC-BY,http://www.inaturalist.org/observations/702329,https://inaturalist-open-data.s3.amazonaws.com/photos/880933/medium.jpg,,"","",1,0,false,,"Uwharrie National Forest, NC",35.368014,-79.999937,10000,,,,28692,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
704233,Fri May 23 2014 08:40:34 GMT-0400 (EDT),2014-05-23,2014-05-23 12:40:34 UTC,Eastern Time (US & Canada),28320,ncnhp,North Carolina Natural Heritage Program,2014-05-29 00:24:51 UTC,2017-01-18 18:43:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/704233,https://inaturalist-open-data.s3.amazonaws.com/photos/883035/medium.jpg,,"",A young one. ,1,0,false,3,"24900–25292 Hill Creek Rd, Wagram, NC, US",34.99072,-79.4454883333,,,,,28748,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
724335,2014-06-07,2014-06-07,,Eastern Time (US & Canada),28942,kdwoj,"",2014-06-08 10:00:18 UTC,2017-01-18 18:45:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/724335,https://inaturalist-open-data.s3.amazonaws.com/photos/909866/medium.jpg,,"","",1,0,false,,"North Carolina, US",,,1750,,,,28804,private,,true,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
814864,2014-08-03 2:58:39 PM CDT,2014-08-03,2014-08-03 19:58:39 UTC,Central Time (US & Canada),43929,adamlilith,Adam B. Smith,2014-08-03 20:01:23 UTC,2019-06-22 23:34:43 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/814864,https://inaturalist-open-data.s3.amazonaws.com/photos/1027704/medium.jpg,,"","Ketona Glades, Bibb County, Alabama",1,0,false,2,"Alabama, US",33.0580329895,-87.0338439941,,,,,,,open,false,gps,gps,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
818934,2014-08-05,2014-08-05,,Eastern Time (US & Canada),1219,jhammock,"",2014-08-06 03:49:51 UTC,2016-06-16 01:37:20 UTC,research,CC0,http://www.inaturalist.org/observations/818934,https://inaturalist-open-data.s3.amazonaws.com/photos/1032970/medium.jpg,,"","",1,0,false,,"Walton County, US-FL, US",30.473669,-86.057734,,,,,29343,,,false,,"",Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
831427,Wed Aug 13 2014 16:43:02 GMT-0400 (EDT),2014-08-13,2014-08-13 20:43:02 UTC,Eastern Time (US & Canada),27509,richard_candler,Richard Candler,2014-08-14 23:27:30 UTC,2015-03-30 06:44:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/831427,https://inaturalist-open-data.s3.amazonaws.com/photos/1051077/medium.jpg,,"",,1,0,false,3,"8863–8879 Highway 54, Sharpsburg, GA, US",33.391481,-84.616581,156,,,,10000,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
841887,2014-04-21,2014-04-21,,Eastern Time (US & Canada),49377,doveman,"",2014-08-21 23:00:57 UTC,2016-11-09 18:43:12 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/841887,https://inaturalist-open-data.s3.amazonaws.com/photos/1065823/medium.JPG,,"","",1,0,false,,aiken gopher toirtoise,33.50055,-81.423676,2608,,,,2608,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
885585,2014-09-17,2014-09-17,,Eastern Time (US & Canada),32266,clcscience,"",2014-09-19 19:56:23 UTC,2016-11-09 18:43:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/885585,https://inaturalist-open-data.s3.amazonaws.com/photos/1124626/medium.JPG,,"","",1,0,false,,havana florida,30.61316,-84.352817,9,,,,29317,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
895604,Fri Sep 26 2014 10:09:04 GMT-0400 (EDT),2014-09-26,2014-09-26 14:09:04 UTC,Eastern Time (US & Canada),47721,lisalundgren9,Lisa Lundgren,2014-09-26 14:24:39 UTC,2016-11-09 18:43:21 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/895604,https://inaturalist-open-data.s3.amazonaws.com/photos/1139321/medium.jpg,,"",Longleaf,1,0,false,3,"University of Florida, Gainesville, FL, US",29.634404,-82.370086,140,,,,29445,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
1070308,2014-10-25,2014-10-25,,Central Time (US & Canada),63267,nm13,,2014-11-12 19:46:14 UTC,2021-09-29 18:38:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1070308,https://inaturalist-open-data.s3.amazonaws.com/photos/1341767/medium.JPG,,Rice Trees,Found in the pine savanna in less abundance than loblolly pines,1,0,false,,Big Thicket:Turkey Creek ,30.4761,-94.3358,,,,,,,,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
1113081,2014-11-30,2014-11-30,,Central Time (US & Canada),9434,taogirl,Judith Ellen Lopez,2014-12-05 16:59:58 UTC,2016-11-09 18:43:31 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1113081,https://inaturalist-open-data.s3.amazonaws.com/photos/1398896/medium.JPG,,"","",1,0,false,,"Boyd Hill Nature Preserve, FL",27.733044,-82.661551,29,,,,29692,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
1135309,2014-12-16 12:35PM,2014-12-16,2014-12-16 16:35:00 UTC,Atlantic Time (Canada),12440,javierahr,Javier Alejandro,2014-12-17 08:05:51 UTC,2016-11-09 18:43:56 UTC,research,CC-BY,http://www.inaturalist.org/observations/1135309,https://inaturalist-open-data.s3.amazonaws.com/photos/1427794/medium.jpg,,"","",1,0,false,,"Hunter's Creek, Florida",28.377091,-81.448109,116,,,,29619,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
1135315,2014-12-16 12:38PM,2014-12-16,2014-12-16 16:38:00 UTC,Atlantic Time (Canada),12440,javierahr,Javier Alejandro,2014-12-17 08:11:03 UTC,2016-11-09 18:44:00 UTC,research,CC-BY,http://www.inaturalist.org/observations/1135315,https://inaturalist-open-data.s3.amazonaws.com/photos/1427804/medium.jpg,,"","",1,0,false,,"Hunter's Creek, Florida",28.379918,-81.446956,,,,,29619,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
1158762,2015-01-03 11:09:11 AM EST,2015-01-03,2015-01-03 16:09:11 UTC,Eastern Time (US & Canada),68872,rhexia,"",2015-01-03 19:15:09 UTC,2017-01-18 19:05:19 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1158762,https://inaturalist-open-data.s3.amazonaws.com/photos/1460961/medium.jpg,,"","",1,0,false,2,"Wilmington, NC",34.154517,-77.926314,9,,,,28860,,,false,gps,gps,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
1173094,Sat Jan 10 2015 15:59:59 GMT-0600 (CST),2015-01-10,2015-01-10 21:59:59 UTC,Central Time (US & Canada),17973,wlud,,2015-01-11 23:38:53 UTC,2019-06-22 23:34:40 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1173094,https://inaturalist-open-data.s3.amazonaws.com/photos/1480347/medium.jpg,,"",,1,0,false,3,"Oak Mountain State Park, Birmingham, AL, US",33.346678,-86.701366,5,,,,5,,open,false,,,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
1187590,2015-01-21 1:53:31 PM CST,2015-01-21,2015-01-21 19:53:31 UTC,Central Time (US & Canada),64690,jenniferdavis16121,Jennifer Davis,2015-01-21 19:56:17 UTC,2016-09-15 14:48:59 UTC,research,,http://www.inaturalist.org/observations/1187590,http://static.inaturalist.org/photos/1500222/medium.jpg,,"","",1,0,false,2,"Florida, US",30.51373608,-86.5407369,5,,,,10000,,,false,gps,gps,Longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
1188418,2015-01-21 11:26:08 PM CST,2015-01-21,2015-01-22 05:26:08 UTC,Central Time (US & Canada),64690,jenniferdavis16121,Jennifer Davis,2015-01-22 05:34:09 UTC,2016-09-15 14:49:00 UTC,research,,http://www.inaturalist.org/observations/1188418,http://static.inaturalist.org/photos/1501137/medium.jpg,,"",Sapling,1,0,false,2,Eglin AFB,30.5753044,-86.431543,7,,,,10000,,,false,gps,gps,Longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
1201936,Fri Jan 30 2015 07:43:28 GMT-0600 (CST),2015-01-30,2015-01-30 13:43:28 UTC,Central Time (US & Canada),2281,cullen,Cullen Hanks,2015-01-30 13:44:40 UTC,2017-09-25 23:15:06 UTC,research,CC0,http://www.inaturalist.org/observations/1201936,https://inaturalist-open-data.s3.amazonaws.com/photos/1518630/medium.jpg,,"",The Tina Turner life stage.,1,0,false,37,"Park Road 74, Lumberton, TX, US",30.252615,-94.172608,5,,,,10000,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
1207031,2015-02-01 9:21:31 AM CST,2015-02-01,2015-02-01 15:21:31 UTC,Central Time (US & Canada),17201,matthewherron,Matthew Herron,2015-02-02 02:36:10 UTC,2018-04-01 17:13:55 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1207031,https://inaturalist-open-data.s3.amazonaws.com/photos/1524580/medium.jpg,,"","",1,0,false,2,"Louisiana, US",31.68628557,-92.47167831,10,,,,10,,,false,gps,gps,longleaf pine,Pinus palustris,longleaf pine,Plantae,81901
1228525,Mon Feb 09 2015 12:34:38 GMT-0600 (CST),2015-02-09,2015-02-09 18:34:38 UTC,Central Time (US & Canada),30627,riversedge,"",2015-02-11 18:27:59 UTC,2017-09-18 15:33:34 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1228525,https://inaturalist-open-data.s3.amazonaws.com/photos/1547641/medium.jpg,,"",,1,0,false,3,"Carolina Sandhills National Wildlife Refuge, McBee, SC, US",34.5754383333,-80.1781533333,,,,,28804,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
1251388,Sun Feb 22 2015 10:13:11 GMT-0600 (CST),2015-02-22,2015-02-22 16:13:11 UTC,Central Time (US & Canada),65690,bobcat19,"",2015-02-22 17:14:38 UTC,2016-11-09 18:44:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1251388,https://inaturalist-open-data.s3.amazonaws.com/photos/1571283/medium.jpg,,"",Different stages of growth. Some of these trees have been dated back to the time of the American Revolution War.,2,0,false,3,"Fred Gannon Rocky Bayou State Recreation Area, Niceville, FL, US",30.496833,-86.429772,5,,,,29343,,,false,,,Longleaf Pine,Pinus palustris,longleaf pine,Plantae,81901
