row ID,row m/z,row retention time,LT-C4-1A.mzML crop_filtered_NEG Peak area,LT-C4-1B.mzML crop_filtered_NEG Peak area,LT-C4-1C.mzML crop_filtered_NEG Peak area,LT-C4-2A.mzML crop_filtered_NEG Peak area,LT-C4-2B.mzML crop_filtered_NEG Peak area,LT-C4-2C.mzML crop_filtered_NEG Peak area,LT-C4-3A.mzML crop_filtered_NEG Peak area,LT-C4-3B.mzML crop_filtered_NEG Peak area,LT-C4-3C.mzML crop_filtered_NEG Peak area,LT-C4-4A.mzML crop_filtered_NEG Peak area,LT-C4-4B.mzML crop_filtered_NEG Peak area,LT-C4-4C.mzML crop_filtered_NEG Peak area,LT-C4-5A.mzML crop_filtered_NEG Peak area,LT-C4-5B.mzML crop_filtered_NEG Peak area,LT-C4-5C.mzML crop_filtered_NEG Peak area,LT-C4-6A.mzML crop_filtered_NEG Peak area,LT-C4-6B.mzML crop_filtered_NEG Peak area,LT-C4-6C.mzML crop_filtered_NEG Peak area,LT-C4-7A.mzML crop_filtered_NEG Peak area,LT-C4-7B.mzML crop_filtered_NEG Peak area,LT-C4-7C.mzML crop_filtered_NEG Peak area,PROCBLANKA.mzML crop_filtered_NEG Peak area,PROCBLANKB.mzML crop_filtered_NEG Peak area,PROCBLANKC.mzML crop_filtered_NEG Peak area,zBLK02.mzML crop_filtered_NEG Peak area,zBLK03.mzML crop_filtered_NEG Peak area,zBLK04.mzML crop_filtered_NEG Peak area,zBLK05.mzML crop_filtered_NEG Peak area,zBLK06.mzML crop_filtered_NEG Peak area,zBLK07.mzML crop_filtered_NEG Peak area,
41,409.1320266723633,5.944795516666667,2.2371862664774965E7,1.989525797986695E7,1.4333487828439895E7,0,0,0,8930817.990114706,7633810.618462199,8972905.191325413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,623.4525655110677,6.357228166666666,2.5453598298660446E7,1.9656817332032897E7,1.350063099159023E7,0,0,0,3784304.921254166,3083234.72959203,3673048.2043314814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,347.1804733276367,5.94450105,2.3437967620199215E7,2.088501229567382E7,1.7207598294986166E7,0,0,0,1.154858894571179E7,1.0150436077498956E7,1.0550267357679509E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,377.17374420166016,4.6297421,2.8054122259357944E7,2.5737697207193013E7,2.0698272622658923E7,0,0,0,2573019.1514106346,2100698.5450303988,1924623.3369943069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,187.0967524210612,2.709819193333333,2.3558162129300743E7,2.326021361183315E7,2.1685413757934637E7,8913217.91294443,8135312.682025047,8487319.720178623,9925989.28539726,1.127401175724847E7,1.0264989871823868E7,8094600.186575781,7626797.109767344,8458698.550750563,1.1883149333370846E7,1.2911567390721124E7,9376585.032955242,8537912.272643695,8852736.777081119,7823883.31810327,2.7311568343875927E8,2.5832627339498845E8,2.8064347421337676E8,8087360.272002913,8260344.874418848,9317286.65389364,1.0404090689158695E7,9438092.479066873,9334568.970555693,8534905.213806115,8289175.6607320495,7912525.458102513,
46,425.12708791097003,5.9486493000000005,1.580105827279491E7,1.1390259750387453E7,8821441.581207002,0,0,0,4967849.142132031,4281378.223563392,4010068.2889518263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,373.1868148803711,3.8820788500000005,2.619425820315863E7,2.324122204536395E7,2.0612811726853874E7,0,0,0,742310.0935916606,681627.7225439397,1040653.4496843636,0,0,0,1517006.0146444822,0,1406657.9476709897,0,3246512.558330615,2935541.1631804374,0,0,0,0,0,0,0,0,0,0,0,0,
48,253.14442879813058,4.269526571428571,2.0231888191454913E7,1.7370258997295696E7,1.5416899391856104E7,0,0,0,0,0,0,0,0,0,0,0,0,425734.3457030635,0,0,6856618.946581754,6119806.082675446,6869089.549582672,0,0,0,0,0,0,0,0,0,
49,347.1994222005208,6.361096483333333,3.024208832245072E7,2.4715982302130383E7,2.053296363773029E7,0,0,0,9868077.930065703,8121637.8036454255,9155038.943918336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,409.18469492594403,4.625737583333334,2.7141812460296925E7,2.4575032489033163E7,2.03894354835099E7,0,0,0,3198561.869243051,2644837.039319582,2968929.4959116164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,183.10177510579427,3.3120315199999997,1.297993262694707E7,1.381167164796747E7,1.42605379931103E7,1179532.290374552,967208.6726584925,522618.31424299785,6525949.176250483,6545029.910368539,7017603.964084103,0,0,0,3684143.9734691763,3197508.3567646965,3239412.440634421,0,0,0,6.049394840212321E7,6.217832434778308E7,6.43742530288599E7,0,0,0,0,0,0,0,0,0,
52,166.04987335205078,4.03715565,2.5351295159771327E7,2.2104456102695152E7,1.853821935983598E7,2749302.821091816,2723019.7495644363,2980331.2926047742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,327.2179870605469,4.968324622222223,2.937617460522151E7,2.612951473379142E7,2.2792844480388507E7,0,0,0,1413311.6172230726,1316604.5594268607,1344293.6242880612,0,0,0,0,0,0,0,0,0,6954256.021082671,7021047.149057404,7646717.514091961,0,0,0,0,0,0,0,0,0,
54,289.18116760253906,4.836758155555556,1.77875720326543E7,1.5772402277949441E7,1.3634737528283384E7,0,0,0,1437226.7632621068,1356528.2329284356,1417505.1236240063,0,0,0,0,0,0,0,0,0,894433.9805013216,794611.3241119039,665493.2092752391,0,0,0,0,0,0,0,0,0,
55,293.2008641560872,5.96070245,1.7890339963597756E7,1.4023481827078547E7,1.2496475056777757E7,0,0,0,1.0258774322701313E7,7642714.5977038145,8629760.502773236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,681.2966868082682,7.9485580874999995,1.0786759025922643E7,1.0400484890038248E7,7221594.450011896,1689963.0514291858,1709261.99719852,1598631.1308516562,3747189.074783653,3337915.725029844,0,1868454.811489444,1845291.4402228403,1630121.5475331917,1605123.2640828018,0,1417593.3008397366,1570013.1821728765,1535316.1874459158,1327032.7867246051,0,1175324.6885610016,1139062.3600312513,1739570.0426448684,1655565.8319640802,1269064.4777316144,0,0,1331235.0982633908,1384248.734934439,0,1149566.9129446899,
57,205.839124806722,0.8482937056666667,6.5259371220013075E7,6.6502203516435064E7,1.1395976241850895E8,9.996712668056303E7,1.0312010187480792E8,1.0504463004287094E8,1.0238780225775327E8,1.0440536210962796E8,1.0296204649227819E8,8.907781017303371E7,9.935461197231635E7,9.767809772016713E7,5.0190106005681716E7,5.108412468462577E7,4.205183796236092E7,4.770470388408183E7,3.659066703746482E7,4.7283264620999336E7,1.8182390416302323E8,1.6036834446046698E8,1.7326600014727595E8,1.035758470317886E8,1.04453365004327E8,1.1012352563542156E8,1.2426467790101546E8,1.0644411301867005E8,1.0035324328819649E8,1.0760371226506214E8,9.601997587727752E7,9.003006407306975E7,
58,247.13376331329346,6.0179009875,1.400532047686119E7,1.2450455259630965E7,1.0928304259067137E7,400734.22457699606,0,408127.3897041787,1100277.519875683,1524827.712755205,1444481.0133256593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,251.1651871999105,5.243713083333334,2.183718322959818E7,2.0696570208178736E7,1.829881949322756E7,906133.9668570317,909601.1345620664,696241.7964910391,3372946.719712819,3381923.413188953,3387761.9988457933,0,0,0,0,0,0,0,0,0,2093307.2371667274,1796955.6072834078,1446522.7326255424,0,0,0,0,0,0,0,0,0,
60,207.10203128390842,3.4004144111111114,1.4658957886191176E7,1.3622410391861072E7,1.1920215149398932E7,0,0,0,0,0,0,0,0,0,0,0,0,438921.4570188037,519927.0782337907,406339.5719265565,3300039.135718829,1108692.9144544236,1359113.7509081974,0,0,0,0,0,0,0,0,0,
61,267.1967247856988,6.007890366666667,1.9479434488049116E7,1.9687545018517595E7,1.4964056532133808E7,0,0,0,5361584.975592852,5510347.548814197,5828487.764488614,0,0,0,0,0,0,0,0,0,739065.2333627243,740656.1861157463,723817.6709952261,0,0,0,0,0,0,0,0,0,
62,227.12843475341796,2.99694508,2.15339228935501E7,2.079318864080065E7,1.9414494312665433E7,841394.9275571482,0,0,597949.6637795165,967674.4272312424,818553.162163992,0,0,0,0,0,0,0,0,0,5.371653561521315E7,5.017695166875732E7,5.498759958274721E7,0,0,0,0,0,0,0,0,0,
63,377.1738001505534,4.842201933333333,1.4338327513328392E7,1.2598036594393576E7,1.1552349489695689E7,0,0,0,902090.7708585323,932868.5554789223,915581.3003635772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,325.1293648613824,2.791470116666667,2.1716926817513987E7,5222446.871683316,4635406.409863498,0,0,0,2.1888152499572274E8,1.759379423394745E8,2.1212712501277465E8,2627557.2071230644,2956441.818331478,2190400.601800421,3.912964555704309E8,3.3269264550312823E8,3.807389157052968E8,1.4037398867589561E7,2.0413443069463946E7,1.4907095503651598E7,9278902.279677657,5232893.358207699,5376352.555596108,0,0,0,0,0,0,0,0,0,
65,327.21805681501115,5.598404107142857,2.4671467941988636E7,1.8219908803561598E7,2.1541783302273497E7,950931.4033586574,1011193.1093191976,0,3669066.205680703,6779867.759055024,6390173.193000035,1537003.0810975228,1442089.692909639,1429060.5257230718,0,0,0,0,0,0,1730818.0752122935,2017666.6512003818,1939696.7424571586,0,0,0,0,0,0,0,0,0,
66,323.1864878336589,4.677056433333334,4.299044363802843E7,3.853781091354297E7,3.430455127932056E7,0,0,0,7521834.11755849,7343386.518461504,7527734.328252824,0,0,0,0,0,0,0,0,0,3.03572289798729E7,2.89171681047359E7,3.118424988375894E7,0,0,0,0,0,0,0,0,0,
67,307.1916633019081,5.296527961538462,2.2252524845217273E7,2.1533466309928443E7,2.019806474758459E7,1014556.196261828,951158.2873794284,844623.7977717945,5697905.309572636,6703841.333358133,4822659.45104888,0,0,683238.5419088448,0,0,0,0,0,0,8337208.950230978,9127626.181444244,9689162.106425269,0,0,0,0,0,0,0,0,0,
68,323.1865013970269,4.8539575555555565,1.3922933405122515E7,1.291952629709163E7,1.1181849362937028E7,0,0,0,1610561.9646452316,1297813.5637578783,1308268.345742608,0,0,0,0,0,0,0,0,0,9635053.496358328,9357846.623237299,1.2887396598241935E7,0,0,0,0,0,0,0,0,0,
69,409.18464914957684,4.846449216666667,1.5175837526249677E7,1.3900570610940075E7,1.1979423337962333E7,0,0,0,1472968.8955254885,1186814.1584809197,1557149.7518858884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,470.0485305786133,5.940647266666667,1.4181078775932966E7,1.250948147319638E7,9393677.594457963,0,0,0,4709722.288881836,3497553.673704572,4486801.97831262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,166.04990005493164,4.2671922166666665,1.2912775895023104E7,1.0974725356111733E7,9716945.284797082,671095.4878678409,557765.286416838,639981.7135770473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,423.9708671569824,3.61719745,1.1231089399133474E7,1.0810746910177628E7,9261413.40723199,0,0,0,0,0,0,0,338540.74044168706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
