Process,Number,sample,Sample,run,concentration,abs,h,dilution,j,k,units,test,number,run_time,Notes,Site
AUTODILUTION,ADDED,1652721368,,,,,,,,,,,,,,
RESULT,9,U3,C3SB-C-2-N,17,0.086620,0.073229,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652721497,5/16/2022 13:18,,
RESULT,10,U4,C3SC-C-1,19,0.062195,0.066121,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652721704,5/16/2022 13:21,,
RESULT,11,U5,C3A-D-5,21,0.925479,0.317349,0,0,0,0,mg N/L,KCL NO3_NO2 2,1652721863,5/16/2022 13:24,,
RESULT,8,U2,C1SB-A-1,15,4.105110,0.645346,0,2,0,19,mg N/L,KCL NO3_NO2 2,1652723137,5/16/2022 13:45,,
RESULT,8,U2,C1SB-A-1,15,3.996497,0.338781,0,4,0,0,mg N/L,KCL NO3_NO2 2,1652724175,5/16/2022 14:02,,
RUNSTARTED,1652969653,5/19/2022 10:14,,,Conc.,Abs,,Dil,,,,,,,,
RESULT,-1,S1,Standard 1,0,0.013546,0.013546,0,0,0,0,mg N/L,KCl Ammonia 10,1652970860,5/19/2022 10:34,,
RESULT,-2,S90,Standard .2,1,0.039755,0.039755,0,0,0,0,mg N/L,KCl Ammonia 10,1652971020,5/19/2022 10:37,,
RESULT,-2,S91,Standard .5,2,0.063184,0.063184,0,0,0,0,mg N/L,KCl Ammonia 10,1652971179,5/19/2022 10:39,,
RESULT,-2,S92,Standard 1,3,0.118660,0.11866,0,0,0,0,mg N/L,KCl Ammonia 10,1652971340,5/19/2022 10:42,,
RESULT,-2,S93,Standard 2.5,4,0.246578,0.246578,0,0,0,0,mg N/L,KCl Ammonia 10,1652971500,5/19/2022 10:45,,
RESULT,-2,S94,Standard 5,5,0.495315,0.495315,0,0,0,0,mg N/L,KCl Ammonia 10,1652971660,5/19/2022 10:47,,
RESULT,-2,S95,Standard 7.5,6,0.713044,0.713044,0,0,0,0,mg N/L,KCl Ammonia 10,1652971820,5/19/2022 10:50,,
RESULT,-2,S96,Standard 10,7,0.975223,0.975223,0,0,0,0,mg N/L,KCl Ammonia 10,1652971981,5/19/2022 10:53,,
RESULT,-1,S0,Standard 0,8,0.013760,0.01376,0,0,0,0,mg N/L,KCl Ammonia 10,1652972140,5/19/2022 10:55,,
CALIBRATION,KCl Ammonia 10,1652972140,5/19/2022 10:55,,,,,,,,,,,,,
RESULT,-3,C11,CCV,9,5.192933,0.50732,0,0,0,0,mg N/L,KCl Ammonia 10,1652972301,5/19/2022 10:58,,
QCPRORESULT,NORMAL,0,1652972301,,,,,,,,,,,,,
QCPRODECISION,IN,1652972301,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,10,0.012036,0.013258,0,0,0,0,mg N/L,KCl Ammonia 10,1652972461,5/19/2022 11:01,,
QCPRORESULT,NORMAL,0,1652972461,,,,,,,,,,,,,
QCPRODECISION,IN,1652972461,,,,,,,,,,,,,,
RESULT,5,U1,C1SB-C-2-N,11,0.589779,0.068353,0,0,0,0,mg N/L,KCl Ammonia 10,1652972621,5/19/2022 11:03,,
RESULT,6,U2,C1SB-D-5-N,12,0.962053,0.103854,0,0,0,0,mg N/L,KCl Ammonia 10,1652972781,5/19/2022 11:06,,
RESULT,7,U3,C1SB-C-1-N,13,0.686285,0.077556,0,0,0,0,mg N/L,KCl Ammonia 10,1652972942,5/19/2022 11:09,resin bag broke,
RESULT,8,U4,C1SB-C-3-N,14,0.674590,0.076441,0,0,0,0,mg N/L,KCl Ammonia 10,1652973101,5/19/2022 11:11,,
RESULT,9,U5,C1SB-D-1,15,0.341037,0.044632,0,0,0,0,mg N/L,KCl Ammonia 10,1652973262,5/19/2022 11:14,,
RESULT,10,U6,C3SA-D-1,16,0.497298,0.059534,0,0,0,0,mg N/L,KCl Ammonia 10,1652973421,5/19/2022 11:17,,
RESULT,11,U7,C3SA-D-3,17,0.774508,0.085969,0,0,0,0,mg N/L,KCl Ammonia 10,1652973582,5/19/2022 11:19,,
RESULT,12,U8,C3A-C-2-N,18,0.484599,0.058323,0,0,0,0,mg N/L,KCl Ammonia 10,1652973742,5/19/2022 11:22,,
RESULT,13,U9,C1A-C-5-N,19,0.519874,0.061687,0,0,0,0,mg N/L,KCl Ammonia 10,1652973901,5/19/2022 11:25,,
RESULT,14,U10,C3B-B-5-N,20,0.747088,0.083354,0,0,0,0,mg N/L,KCl Ammonia 10,1652974061,5/19/2022 11:27,,
RESULT,14,C13,Duplicate,21,0.771731,0.085704,0,0,0,0,mg N/L,KCl Ammonia 10,1652974221,5/19/2022 11:30,,
QCPRORESULT,DUPLICATE,3.245062,1652974221,,,,,,,,,,,,,
QCPRODECISION,IN,1652974221,,,,,,,,,,,,,,
RESULT,14,C14,Auto Spike,22,2.688971,0.267298,0,0,0,0,mg N/L,KCl Ammonia 10,1652974381,5/19/2022 11:33,,
QCPRORESULT,AUTO SPIKE,97.094162,1652974381,,,,,,,,,,,,,
QCPRODECISION,IN,1652974381,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,23,5.079291,0.496483,0,0,0,0,mg N/L,KCl Ammonia 10,1652974541,5/19/2022 11:35,,
QCPRORESULT,NORMAL,0,1652974541,,,,,,,,,,,,,
QCPRODECISION,IN,1652974541,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,24,0.008172,0.01289,0,0,0,0,mg N/L,KCl Ammonia 10,1652974701,5/19/2022 11:38,,
QCPRORESULT,NORMAL,0,1652974701,,,,,,,,,,,,,
QCPRODECISION,IN,1652974701,,,,,,,,,,,,,,
RESULT,15,U11,C3A-C-3-N,25,0.696442,0.078524,0,0,0,0,mg N/L,KCl Ammonia 10,1652974861,5/19/2022 11:41,,
RESULT,16,U12,C1A-C-4-N,26,2.024313,0.205153,0,0,0,0,mg N/L,KCl Ammonia 10,1652975021,5/19/2022 11:43,,
RESULT,17,U13,C3SC-A-1-N,27,3.716665,0.36654,0,0,0,0,mg N/L,KCl Ammonia 10,1652975181,5/19/2022 11:46,,
RESULT,18,U14,C3A-C-4-N,28,1.067326,0.113893,0,0,0,0,mg N/L,KCl Ammonia 10,1652975341,5/19/2022 11:49,,
RESULT,19,U15,C1A-D-1-N,29,0.416311,0.051811,0,0,0,0,mg N/L,KCl Ammonia 10,1652975501,5/19/2022 11:51,,
RESULT,20,U16,C3SC-A-4-N,30,1.986444,0.201542,0,0,0,0,mg N/L,KCl Ammonia 10,1652975661,5/19/2022 11:54,,
RESULT,21,U17,C3A-C-5-N,31,0.566892,0.06617,0,0,0,0,mg N/L,KCl Ammonia 10,1652975821,5/19/2022 11:57,,
RESULT,22,U18,C1A-C-2-N,32,0.232472,0.034279,0,0,0,0,mg N/L,KCl Ammonia 10,1652975981,5/19/2022 11:59,,
RESULT,23,U19,C1A-C-3-N,33,0.146773,0.026107,0,0,0,0,mg N/L,KCl Ammonia 10,1652976141,5/19/2022 12:02,,
RESULT,24,U20,C1A-C-1-N,34,1.155943,0.122344,0,0,0,0,mg N/L,KCl Ammonia 10,1652976301,5/19/2022 12:05,,
RESULT,24,C13,Duplicate,35,1.186403,0.125248,0,0,0,0,mg N/L,KCl Ammonia 10,1652976461,5/19/2022 12:07,,
QCPRORESULT,DUPLICATE,2.60075,1652976461,,,,,,,,,,,,,
QCPRODECISION,IN,1652976461,,,,,,,,,,,,,,
RESULT,24,C14,Auto Spike,36,3.175096,0.313432,0,0,0,0,mg N/L,KCl Ammonia 10,1652976621,5/19/2022 12:10,,
QCPRORESULT,AUTO SPIKE,100.957649,1652976621,,,,,,,,,,,,,
QCPRODECISION,IN,1652976621,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,37,5.249558,0.51272,0,0,0,0,mg N/L,KCl Ammonia 10,1652976781,5/19/2022 12:13,,
QCPRORESULT,NORMAL,0,1652976781,,,,,,,,,,,,,
QCPRODECISION,IN,1652976781,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,38,0.008165,0.012889,0,0,0,0,mg N/L,KCl Ammonia 10,1652976941,5/19/2022 12:15,,
QCPRORESULT,NORMAL,0,1652976941,,,,,,,,,,,,,
QCPRODECISION,IN,1652976941,,,,,,,,,,,,,,
RESULT,25,U21,C3A-C-1-N,39,0.937501,0.101512,0,0,0,0,mg N/L,KCl Ammonia 10,1652977101,5/19/2022 12:18,,PBG
RESULT,26,U22,C3SC-A-3-N,40,0.610618,0.07034,0,0,0,0,mg N/L,KCl Ammonia 10,1652977261,5/19/2022 12:21,,
RESULT,27,U23,C3B-B-3-N,41,0.585382,0.067933,0,0,0,0,mg N/L,KCl Ammonia 10,1652977421,5/19/2022 12:23,,
RESULT,28,U24,C3SC-A-5-N,42,0.547978,0.064367,0,0,0,0,mg N/L,KCl Ammonia 10,1652977581,5/19/2022 12:26,,
RESULT,29,U25,C3B-B-4-N,43,0.308261,0.041507,0,0,0,0,mg N/L,KCl Ammonia 10,1652977741,5/19/2022 12:29,,
RESULT,30,U26,C3B-D-3-N,44,0.867162,0.094805,0,0,0,0,mg N/L,KCl Ammonia 10,1652977901,5/19/2022 12:31,,
RESULT,31,U27,C1SB-B-5-N,45,1.021359,0.109509,0,0,0,0,mg N/L,KCl Ammonia 10,1652978061,5/19/2022 12:34,,
RESULT,32,U28,C1SB-B-1-N,46,0.793563,0.087786,0,0,0,0,mg N/L,KCl Ammonia 10,1652978221,5/19/2022 12:37,,
RESULT,33,U29,C1SB-B-2-N,47,1.261170,0.132378,0,0,0,0,mg N/L,KCl Ammonia 10,1652978381,5/19/2022 12:39,,
RESULT,34,U30,C3SC-C-5-N,48,0.411774,0.051378,0,0,0,0,mg N/L,KCl Ammonia 10,1652978541,5/19/2022 12:42,,
RESULT,34,C13,Duplicate,49,0.427455,0.052873,0,0,0,0,mg N/L,KCl Ammonia 10,1652978701,5/19/2022 12:45,,
QCPRORESULT,DUPLICATE,3.736888,1652978701,,,,,,,,,,,,,
QCPRODECISION,IN,1652978701,,,,,,,,,,,,,,
RESULT,34,C14,Auto Spike,50,2.469536,0.246473,0,0,0,0,mg N/L,KCl Ammonia 10,1652978861,5/19/2022 12:47,,
QCPRORESULT,AUTO SPIKE,102.888107,1652978861,,,,,,,,,,,,,
QCPRODECISION,IN,1652978861,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,51,5.035243,0.492282,0,0,0,0,mg N/L,KCl Ammonia 10,1652979021,5/19/2022 12:50,,
QCPRORESULT,NORMAL,0,1652979021,,,,,,,,,,,,,
QCPRODECISION,IN,1652979021,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,52,0.002897,0.012386,0,0,0,0,mg N/L,KCl Ammonia 10,1652979181,5/19/2022 12:53,,
QCPRORESULT,NORMAL,0,1652979181,,,,,,,,,,,,,
QCPRODECISION,IN,1652979181,,,,,,,,,,,,,,
RESULT,35,U31,C1SB-B-4-N,53,0.844714,0.092664,0,0,0,0,mg N/L,KCl Ammonia 10,1652979341,5/19/2022 12:55,,
RESULT,36,U32,C3B-A-2-N,54,0.450509,0.055072,0,0,0,0,mg N/L,KCl Ammonia 10,1652979501,5/19/2022 12:58,,
RESULT,37,U33,C3SB-B-5-N,55,0.402041,0.05045,0,0,0,0,mg N/L,KCl Ammonia 10,1652979661,5/19/2022 13:01,,
RESULT,38,U34,C3B-A-3-N,56,1.442895,0.149708,0,0,0,0,mg N/L,KCl Ammonia 10,1652979821,5/19/2022 13:03,,
RESULT,39,U35,C3SB-B-4-N,57,0.517969,0.061505,0,0,0,0,mg N/L,KCl Ammonia 10,1652979981,5/19/2022 13:06,,
RESULT,40,U36,C3B-A-4-N,58,0.480702,0.057951,0,0,0,0,mg N/L,KCl Ammonia 10,1652980141,5/19/2022 13:09,,
RESULT,41,U37,C3SC-C-3-N,59,1.149837,0.121761,0,0,0,0,mg N/L,KCl Ammonia 10,1652980301,5/19/2022 13:11,,
RESULT,42,U38,C3SB-B-2-N,60,0.931697,0.100959,0,0,0,0,mg N/L,KCl Ammonia 10,1652980461,5/19/2022 13:14,,
RESULT,43,U39,C3SB-B-3-N,61,0.845329,0.092723,0,0,0,0,mg N/L,KCl Ammonia 10,1652980621,5/19/2022 13:17,,
RESULT,44,U40,C3B-A-1-N,62,1.191048,0.125691,0,0,0,0,mg N/L,KCl Ammonia 10,1652980781,5/19/2022 13:19,,
RESULT,44,C13,Duplicate,63,1.230575,0.129461,0,0,0,0,mg N/L,KCl Ammonia 10,1652980941,5/19/2022 13:22,,
QCPRORESULT,DUPLICATE,3.264509,1652980941,,,,,,,,,,,,,
QCPRODECISION,IN,1652980941,,,,,,,,,,,,,,
RESULT,44,C14,Auto Spike,64,3.179031,0.313805,0,0,0,0,mg N/L,KCl Ammonia 10,1652981101,5/19/2022 13:25,,
QCPRORESULT,AUTO SPIKE,99.399155,1652981101,,,,,,,,,,,,,
QCPRODECISION,IN,1652981101,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,65,5.097782,0.498246,0,0,0,0,mg N/L,KCl Ammonia 10,1652981262,5/19/2022 13:27,,
QCPRORESULT,NORMAL,0,1652981262,,,,,,,,,,,,,
QCPRODECISION,IN,1652981262,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,66,0.012182,0.013272,0,0,0,0,mg N/L,KCl Ammonia 10,1652981422,5/19/2022 13:30,,
QCPRORESULT,NORMAL,0,1652981422,,,,,,,,,,,,,
QCPRODECISION,IN,1652981422,,,,,,,,,,,,,,
RESULT,45,U41,C3SB-B-1-N,67,0.661607,0.075203,0,0,0,0,mg N/L,KCl Ammonia 10,1652981582,5/19/2022 13:33,,
RESULT,46,U42,C1SB-C-4-N,68,1.413424,0.146897,0,0,0,0,mg N/L,KCl Ammonia 10,1652981742,5/19/2022 13:35,,
RESULT,47,U43,C1SB-C-5-N,69,0.650765,0.074169,0,0,0,0,mg N/L,KCl Ammonia 10,1652981902,5/19/2022 13:38,,
RESULT,48,U44,C3SA-D-2,70,0.465690,0.056519,0,0,0,0,mg N/L,KCl Ammonia 10,1652982062,5/19/2022 13:41,,
RESULT,49,U45,C1SB-D-4,71,0.598699,0.069204,0,0,0,0,mg N/L,KCl Ammonia 10,1652982222,5/19/2022 13:43,,
RESULT,50,U46,C3SA-D-4,72,0.714095,0.080208,0,0,0,0,mg N/L,KCl Ammonia 10,1652982382,5/19/2022 13:46,,
RESULT,51,U47,C3SA-D-5,73,0.599799,0.069308,0,0,0,0,mg N/L,KCl Ammonia 10,1652982542,5/19/2022 13:49,,
RESULT,52,U48,C1SB-D-2,74,0.594853,0.068837,0,0,0,0,mg N/L,KCl Ammonia 10,1652982702,5/19/2022 13:51,resin bag broke,
RESULT,53,U49,C1SB-D-3,75,1.044958,0.11176,0,0,0,0,mg N/L,KCl Ammonia 10,1652982862,5/19/2022 13:54,,
RESULT,53,C13,Duplicate,76,0.987017,0.106234,0,0,0,0,mg N/L,KCl Ammonia 10,1652983018,5/19/2022 13:56,,
QCPRORESULT,DUPLICATE,5.702937,1652983018,,,,,,,,,,,,,
QCPRODECISION,IN,1652983018,,,,,,,,,,,,,,
RESULT,53,C14,Auto Spike,77,3.023320,0.299028,0,0,0,0,mg N/L,KCl Ammonia 10,1652983179,5/19/2022 13:59,,
QCPRORESULT,AUTO SPIKE,98.918076,1652983179,,,,,,,,,,,,,
QCPRODECISION,IN,1652983179,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,78,5.000786,0.488997,0,0,0,0,mg N/L,KCl Ammonia 10,1652983338,5/19/2022 14:02,,
QCPRORESULT,NORMAL,0,1652983338,,,,,,,,,,,,,
QCPRODECISION,IN,1652983338,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,79,0.013667,0.013413,0,0,0,0,mg N/L,KCl Ammonia 10,1652983499,5/19/2022 14:04,,
QCPRORESULT,NORMAL,0,1652983499,,,,,,,,,,,,,
QCPRODECISION,IN,1652983499,,,,,,,,,,,,,,
RUNENDED,1652983581,COMPLETE,,,,,,,,,,,,,,
RUNSTARTED,1653405547,5/24/2022 11:19,,,concentration,absorbance,,dilution,,,,,,,,PBG
RESULT,-1,S1,Standard 1,0,0.051401,0.051401,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653406832,5/24/2022 11:40,,
RESULT,-2,S90,Standard 90,1,0.062828,0.062828,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653406961,5/24/2022 11:42,,
RESULT,-2,S91,Standard 91,2,0.077631,0.077631,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407089,5/24/2022 11:44,,
RESULT,-2,S92,Standard 92,3,0.104465,0.104465,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407217,5/24/2022 11:46,,
RESULT,-2,S93,Standard 93,4,0.190698,0.190698,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407347,5/24/2022 11:49,,
RESULT,-2,S94,Standard 94,5,0.332006,0.332006,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407476,5/24/2022 11:51,,
RESULT,-2,S95,Standard 95,6,0.480074,0.480074,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407605,5/24/2022 11:53,,
RESULT,-2,S96,Standard 96,7,0.632023,0.632023,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407733,5/24/2022 11:55,,
RESULT,-1,S0,Standard 0,8,0.053487,0.053487,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407861,5/24/2022 11:57,,
CALIBRATION,KCL NO3_NO2 2,1653407861,5/24/2022 11:57,,,,,,,,,,,,,
RESULT,5,C21,Nitrate Standard,9,0.973101,0.329815,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653407989,5/24/2022 11:59,,
RESULT,6,C22,Nitrite Standard,10,1.122397,0.373012,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653408118,5/24/2022 12:01,,
QCPRORESULT,REDUCTION EFFICIENCY,86.698517,1653408118,,,,,,,,,,,,,
QCPRODECISION,IN,1653408118,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,11,0.980793,0.33204,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653408246,5/24/2022 12:04,,
QCPRORESULT,NORMAL,0,1653408246,,,,,,,,,,,,,
QCPRODECISION,IN,1653408246,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,12,0.016184,0.052937,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653408374,5/24/2022 12:06,,
QCPRORESULT,NORMAL,0,1653408374,,,,,,,,,,,,,
QCPRODECISION,IN,1653408374,,,,,,,,,,,,,,
RESULT,7,U1,C1SB-C-2-N,13,0.104940,0.078618,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653408503,5/24/2022 12:08,,
RESULT,8,U2,C1SB-D-5-N,14,12.430493,3.644931,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653408632,5/24/2022 12:10,,
AUTODILUTION,APPROVED,1653408632,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653408632,,,,,,,,,,,,,,
RESULT,9,U3,C1SB-C-1-N,15,1.059838,0.354911,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653408760,5/24/2022 12:12,,
RESULT,10,U4,C1SB-C-3-N,16,4.941777,1.478123,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653408889,5/24/2022 12:14,,
AUTODILUTION,APPROVED,1653408889,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653408889,,,,,,,,,,,,,,
RESULT,11,U5,C1SB-D-1,17,0.495719,0.191687,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653409023,5/24/2022 12:17,,
RESULT,12,U6,C3SA-D-1,18,2.061109,0.644622,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653409152,5/24/2022 12:19,,
AUTODILUTION,APPROVED,1653409152,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653409152,,,,,,,,,,,,,,
RESULT,13,U7,C3SA-D-3,19,0.041186,0.060171,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653409281,5/24/2022 12:21,,
RESULT,14,U8,C3A-C-2-N,20,12.249003,3.592418,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653409410,5/24/2022 12:23,,
AUTODILUTION,APPROVED,1653409410,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653409410,,,,,,,,,,,,,,
RESULT,15,U9,C1A-C-5-N,21,0.789508,0.276693,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653409539,5/24/2022 12:25,,
RESULT,16,U10,C3B-B-5-N,22,4.588409,1.375879,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653409668,5/24/2022 12:27,,
AUTODILUTION,APPROVED,1653409668,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653409668,,,,,,,,,,,,,,
RESULT,16,C13,Duplicate,23,4.661245,1.396953,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653409796,5/24/2022 12:29,,
QCPRORESULT,DUPLICATE,1.574879,1653409796,,,,,,,,,,,,,
QCPRODECISION,IN,1653409796,,,,,,,,,,,,,,
AUTODILUTION,APPROVED,1653409797,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653409797,,,,,,,,,,,,,,
RESULT,16,C14,Auto Spike,24,5.640144,1.491528,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653409926,5/24/2022 12:32,,
QCPRORESULT,AUTO SPIKE,105.173439,1653409926,,,,,,,,,,,,,
QCPRODECISION,IN,1653409926,,,,,,,,,,,,,,
AUTODILUTION,APPROVED,1653409926,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653409926,,,,,,,,,,,,,,
RESULT,-3,C11,CCV,25,0.966395,0.327874,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653410055,5/24/2022 12:34,,
QCPRORESULT,NORMAL,0,1653410055,,,,,,,,,,,,,
QCPRODECISION,IN,1653410055,,,,,,,,,,,,,,
RESULT,-3,C12,CCB,26,0.020860,0.05429,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653410184,5/24/2022 12:36,,
QCPRORESULT,NORMAL,0,1653410184,,,,,,,,,,,,,
QCPRODECISION,IN,1653410184,,,,,,,,,,,,,,
RESULT,17,U11,C3A-C-3-N,27,2.041276,0.638883,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653410313,5/24/2022 12:38,,
AUTODILUTION,APPROVED,1653410313,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653410313,,,,,,,,,,,,,,
RESULT,18,U12,C1A-C-4-N,28,2.406299,0.7445,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653410442,5/24/2022 12:40,,
AUTODILUTION,APPROVED,1653410442,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653410442,,,,,,,,,,,,,,
RESULT,19,U13,C3SC-A-1-N,29,2.179927,0.679001,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653410571,5/24/2022 12:42,,
AUTODILUTION,APPROVED,1653410571,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653410571,,,,,,,,,,,,,,
RESULT,20,U14,C3A-C-4-N,30,15.076287,4.410473,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653410699,5/24/2022 12:44,,
AUTODILUTION,APPROVED,1653410699,Auto Spike,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653410699,,,,,,,,,,,,,,
RESULT,21,U15,C1A-D-1-N,31,0.509293,0.195615,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653410833,5/24/2022 12:47,,
RESULT,22,U16,C3SC-A-4-N,32,0.444088,0.176748,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653410962,5/24/2022 12:49,,
RESULT,23,U17,C3A-C-5-N,33,0.205303,0.107658,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653411092,5/24/2022 12:51,,
RESULT,24,U18,C1A-C-2-N,34,3.026127,0.923843,0,0,0,19,mg N/L,KCL NO3_NO2 2,1653411221,5/24/2022 12:53,,
AUTODILUTION,APPROVED,1653411221,,,,,,,,,,,,,,
AUTODILUTION,ADDED,1653411221,,,,,,,,,,,,,,
RESULT,25,U19,C1A-C-3-N,35,1.156913,0.382999,0,0,0,0,mg N/L,KCL NO3_NO2 2,1653411349,5/24/2022 12:55,,
