row ID,row m/z,row retention time,LT-C4-1A.mzML crop_filtered_POS Peak area,LT-C4-1B.mzML crop_filtered_POS Peak area,LT-C4-1C.mzML crop_filtered_POS Peak area,LT-C4-2A.mzML crop_filtered_POS Peak area,LT-C4-2B.mzML crop_filtered_POS Peak area,LT-C4-2C.mzML crop_filtered_POS Peak area,LT-C4-3A.mzML crop_filtered_POS Peak area,LT-C4-3B.mzML crop_filtered_POS Peak area,LT-C4-3C.mzML crop_filtered_POS Peak area,LT-C4-4A.mzML crop_filtered_POS Peak area,LT-C4-4B.mzML crop_filtered_POS Peak area,LT-C4-4C.mzML crop_filtered_POS Peak area,LT-C4-5A.mzML crop_filtered_POS Peak area,LT-C4-5B.mzML crop_filtered_POS Peak area,LT-C4-5C.mzML crop_filtered_POS Peak area,LT-C4-6A.mzML crop_filtered_POS Peak area,LT-C4-6B.mzML crop_filtered_POS Peak area,LT-C4-6C.mzML crop_filtered_POS Peak area,LT-C4-7A.mzML crop_filtered_POS Peak area,LT-C4-7B.mzML crop_filtered_POS Peak area,LT-C4-7C.mzML crop_filtered_POS Peak area,PROCBLANKA.mzML crop_filtered_POS Peak area,PROCBLANKB.mzML crop_filtered_POS Peak area,PROCBLANKC.mzML crop_filtered_POS Peak area,zBLK02.mzML crop_filtered_POS Peak area,zBLK03.mzML crop_filtered_POS Peak area,zBLK04.mzML crop_filtered_POS Peak area,zBLK05.mzML crop_filtered_POS Peak area,zBLK06.mzML crop_filtered_POS Peak area,zBLK07.mzML crop_filtered_POS Peak area,
11,328.2484652201335,5.527765675,1.4564638827321967E8,1.4759391385009313E8,1.0779916104392913E8,1885010.80278892,1388518.6207067124,922211.8913829454,3302497.4815840884,2322055.2912482377,1862524.9723965963,0,0,0,0,0,0,0,0,0,2216049.1926291916,2007748.5703565038,2289063.4880377552,0,0,0,0,0,0,0,0,0,
12,273.1121826171875,5.324653925000001,1.2542170989328645E8,1.1370570187965752E8,9.574693495547123E7,0,0,0,0,674443.4840112866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,360.2382524278429,4.850630566666667,1.2947386115607955E8,1.1208874814862905E8,9.199407971419981E7,0,0,0,1.236753571355485E7,9436521.813948061,1.0211011010412537E7,0,0,0,0,0,0,0,0,0,3135118.2159152795,3043749.007705521,3536688.0335282055,0,0,0,0,0,0,0,0,0,
14,277.2166035970052,5.920942559999999,1.7513871195038068E8,1.6391123573790437E8,1.2901974376630855E8,868201.491324858,1489046.9432234773,1100643.1416098103,9.184501436130281E7,8.882051082423234E7,9.959847545459962E7,1066976.2346391848,861394.4699690673,742790.1400287672,0,0,0,0,0,0,2675799.482241801,3313799.198247621,3149758.0106620556,0,0,0,0,0,0,0,0,0,
15,231.13820969431023,3.1461882210526317,1.087509500925063E8,1.084884591369441E8,9.074394924040505E7,3529737.310463476,7365250.491475927,8861958.610490711,1.068895177492791E7,1.2715871068227E7,1.333799712859922E7,5540953.059041012,4583703.581182735,4062979.5514092892,2.217952328985526E7,0,0,5.232078335777058E7,4.223821222614394E7,4.329002564421619E7,3919163.594892384,7279215.724845746,9490893.394003214,0,0,0,0,0,0,0,0,0,
16,277.2165002822876,5.7923960999999995,1.5767324591799566E8,1.3590050186603454E8,1.251169065257049E8,1690918.7006524785,2636729.8658424383,1922236.1998546156,7.506358019309464E7,6.755605939186102E7,6.917956097603153E7,3915356.3134201467,4564607.2486769,4147558.229636798,0,941396.5285844309,0,0,0,0,1.6248202833716985E7,1.5432861526540147E7,1.6640977112168051E7,0,0,0,0,0,0,0,0,0,
17,275.2008137422449,5.973005064705881,1.490241347657424E8,1.3846690215283963E8,1.1278975857584934E8,3236302.2189316857,3209085.7197368005,2965556.396504039,1.1425302412362841E8,1.0572887048214594E8,1.1338714986475001E8,1552734.6765073533,1155202.3403959817,833814.760362164,1043835.8795232183,1309170.925285413,0,0,0,0,5726829.559093663,7726894.115363697,1.1846924688312756E7,0,0,0,0,0,0,0,0,0,
18,654.3335927327474,7.956716150000001,7.233159388877998E7,5.7133391935157046E7,4.95441592802221E7,9686652.462371888,8932167.960476575,9371941.531435033,2.3103804766839113E7,1.6967036919445638E7,1.967385637743073E7,1.0528923830252843E7,1.0052427816385165E7,8079392.364151528,9006753.154229835,8520306.642959766,8306091.652054726,8776201.17498303,7762876.504999705,7691840.694794267,8133106.6981311785,6318045.920013022,6405414.144450277,9111867.19438851,8211312.685925164,7444251.726325434,9094540.580484021,9368496.915295929,7335148.529431621,7298886.3163550105,7783801.052576032,7777591.327463102,
19,219.17459651402064,5.489729785714284,1.0764432858189905E8,1.0854452700562094E8,9.227560026515955E7,1.0332234449133197E7,1.2245871462413821E7,1.2771690296515113E7,1.3152537516317895E8,1.0731237767184378E8,1.2396672298206429E8,1.0475946318130348E7,1.0760769310451934E7,1.0020986106213938E7,2489647.872817186,2257437.5948742055,1920515.8597424175,2804996.360244319,2853166.8367828843,2824180.8941997094,8728527.268709332,8217875.585420877,8984817.15654588,0,0,0,0,0,0,0,0,0,
20,313.1435775756836,6.5588340533333325,1.1056513445599541E8,1.4571681816617608E8,1.2234482264120044E8,3.958933583648434E7,4.260627113771176E7,4.067922474514366E7,3.2825172877211645E7,6.595758529961604E7,4.983233794951966E7,3.130016711503952E7,3.1559765274585646E7,3.527064382734577E7,5.9841233552363075E7,7.818838275200965E7,4.194583221808125E7,3.4288180467498735E7,4.5362824918564096E7,4.599427167855018E7,4.705658840622554E7,4.988265870192737E7,4.386995805368392E7,4.6578708079691395E7,6.474762739190414E7,5.596020639544619E7,4.310354919594561E7,4.3362125456547774E7,3.935411097135009E7,3.786320781906742E7,3.865404521948901E7,3.423423586204024E7,
21,217.15889485677084,5.825628633333333,1.4843811732373747E8,1.4057384458431035E8,1.1962978918277638E8,3619121.462393115,3610701.4953556587,3380250.809020714,8982808.306852473,8727828.248247549,9559146.723870987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,393.28625244140625,4.97585742,8.502510914795041E7,7.813034310422452E7,6.6462558671438545E7,1.2016771735293582E8,1.2775678738100006E8,1.3302662980860105E8,8.789325761836375E7,7.252525017166202E7,7.727189441682227E7,8.31642996020065E7,8.536699636906424E7,7.86707172279822E7,3.396356912980146E7,3.0841713352358103E7,3.1206557915702786E7,1.855216212839989E7,1.7870552501171827E7,1.6405749817248056E7,2.2649972139946397E7,2.2405478509903796E7,2.2665170349684708E7,5.6092920527376845E7,5.413270874498271E7,5.085931903976612E7,0,0,0,0,0,731980.436772896,
23,333.2039604187012,5.9230083250000005,1.1985867123835915E8,1.0289535211128373E8,9.307978715768857E7,1503931.9180961798,1439735.2411501976,779337.7390118679,5.8657410941590644E7,5.235421420672232E7,5.7399406258259885E7,0,0,0,0,0,0,0,0,0,4051152.292068759,4263312.557684627,4425079.35641006,0,0,0,0,0,0,0,0,0,
24,259.169182671441,5.777936200000001,9.637028874992286E7,8.800286132286842E7,7.48383678257002E7,1495440.911307851,1250264.2542838133,808228.2336959051,1052905.6526327138,1158644.0754103824,1140767.8375272625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,228.19596125284832,4.323452676666666,1.6153658941649836E8,1.5706721539083487E8,1.4353649059481102E8,1.2117164230582346E8,1.2030434900177406E8,1.2511988452612217E8,8.649500559214881E7,9.295998282308291E7,8.659912754567605E7,7.888468758044079E7,8.040924549193218E7,7.258679311664708E7,9.818382070830357E7,9.715368731434518E7,9.799952179003921E7,1.5020261861753416E8,1.5552302560991266E8,1.5993965342713642E8,1.5426905762377053E8,1.569180247278522E8,1.5876936165678135E8,8.389565221831538E7,9.147828025263974E7,9.297082129705773E7,8.824549715474328E7,8.501753601658681E7,8.354635205862331E7,8.407364051080033E7,8.925522339213148E7,8.811689468429956E7,
26,295.22703697567897,6.381530566666666,1.374798132953497E8,1.5023851913994586E8,1.3147718804457775E8,6.021697639084006E7,6.190578403285492E7,6.787939741823322E7,5.69878916969048E8,5.197747709365398E8,5.54038240579589E8,7444678.039712581,4650689.331577027,3080724.748531556,3887110.533089439,5332032.481433299,2647965.3120427863,2096664.3545150836,2395427.9551852844,2645127.0981340087,1.8753973072856247E7,1.6278290529683944E7,1.8602182908937667E7,0,0,0,0,0,0,0,0,0,
27,277.18030124240454,5.752189422222222,1.208503622759641E8,1.0040796077471936E8,9.728076751724167E7,1640790.3938552928,1682720.3495398602,936871.2096252646,4207935.662841779,4485329.366480218,4276450.072267058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,247.13313331604004,3.6450683500000003,8.57666782396087E7,8.068710117701872E7,6.555824854378279E7,8835195.883336987,8494828.276412886,8470111.509876871,8028304.097957624,8288629.894351887,8614204.052891448,9170137.183111982,9949889.150004013,1.0366028825247843E7,6.776521047597606E7,4.877024897371124E7,6.370526017674515E7,0,1.2631394239435567E7,1.0976216491605684E7,3891436.2746582376,3772953.739109391,3962177.959791938,0,0,0,0,0,0,0,0,0,
29,365.19390190972223,4.618655144444444,1.3834556323144826E8,1.1764479679455584E8,8.880949462807302E7,0,0,0,1159620.0595116627,1481073.0197876242,1940484.4325179642,0,0,0,0,0,0,0,0,0,1916207.856427183,2121574.845573048,1863993.055181249,0,0,0,0,0,0,0,0,0,
30,201.1638938056098,5.701823088888889,8.227520551344061E7,7.674221710665174E7,6.758463861614622E7,5089764.643762606,4857074.157152247,5290477.760584976,2192994.5590644907,2139863.8138942425,2172444.736045223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,215.14317830403647,5.344988,8.397817663946497E7,8.044495547409701E7,6.758424119895884E7,4163863.2572504226,1830186.507941611,2591641.901676266,1.751857450076824E7,1.299980787910774E7,1.744002384700249E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,231.13823445638022,3.6036178476190477,7.638443130456008E7,7.191399819767709E7,6.257092348659613E7,1567922.2891295839,2859307.1435230346,3055187.606799382,4.4381642084816284E7,4.2939171228574485E7,4.456722299661748E7,7739728.388076372,6921049.74486647,6570855.056440514,1.5966547175865754E7,1.3111930377234407E7,1.6245128869850233E7,7656656.52940838,1.0397264318160733E7,6579301.804419921,2708203.5204639817,2599089.8048624992,2599658.6867545764,0,0,0,0,0,0,0,0,0,
33,219.17461395263672,5.917608650000001,8.789405048653115E7,7.526537165922746E7,6.5258908308324054E7,3868744.205772409,3496688.172025686,3542034.9119383553,3.172473979935977E7,3.226945920534334E7,3.187065946697516E7,1089844.6484055915,960021.0443252568,0,1074342.739051875,1010480.9322832727,0,0,0,0,1856090.420162956,1751867.4555856274,1585524.261965819,0,0,0,0,0,0,0,0,0,
34,203.1796137491862,5.437708933333334,6.37123699316771E7,6.691410961265822E7,6.4424269135667965E7,1.8544002946087554E7,1.8882944824512042E7,1.9333631680644453E7,1.833694982745377E7,1.6663170848862711E7,1.8795145884528752E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
35,219.17449726777917,5.217733064705882,7.830614918633415E7,7.250580659673758E7,7.068265169477604E7,5499013.59912829,9333637.757674707,6324260.495448334,1.3871344569874927E7,1.1030723682562714E7,1.2530869903220642E7,886864.9632230136,828259.059801355,1095893.1180006037,0,0,0,638632.6547276274,0,631277.4456849123,2978259.5390826045,3526815.7500855667,3344280.3952334486,0,0,0,0,0,0,0,0,0,
36,247.13305591401598,4.213832466666666,8.588378439574787E7,6.735014236633947E7,5.674846941195139E7,4093698.55527596,4172058.474896728,3799323.023320175,1.9511523108885076E7,2.1079262006574605E7,4.4955253065236986E7,2.94993926148538E9,2.8658534580636916E9,2.8819991263121386E9,6.348572272366066E8,4.772628594163697E8,4.843936786045424E8,6.538517343721139E7,6.951556638763043E7,6.536219627798346E7,2.3382260410822712E7,2.128190239462852E7,1.3194154641145127E7,0,0,0,0,0,0,0,0,0,
37,203.17966545952692,5.750351177777778,1.000932902236818E8,5.369008082700659E7,4.4339390159436196E7,1.9386709909526866E7,2.0035366179512236E7,2.208324487277421E7,4765303.369825261,3863126.5853130403,4425035.55011568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
38,337.1070912679036,5.260199966666667,5.619665079112903E7,5.51545105218383E7,4.1456382921327956E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,279.1592783610026,6.691956760000001,8.893293087450813E7,8.467583050759242E7,7.463250632360043E7,1.4905091100525234E7,1.5345779826760238E7,1.5838268492351841E7,1.4738082993339825E7,1.7023661718037125E7,1.5573848538687356E7,1.4277248605923317E7,1.3151525169431962E7,1.5298378804853665E7,1.4892572742178641E7,1.5981236872866383E7,1.300997379186782E7,1.40614942572189E7,1.4224273614175828E7,1.5080388551589172E7,1.3191275176988687E7,1.3542744977895956E7,1.3049166321839718E7,1.2388950398316346E7,1.5681452277602924E7,1.5136098632474301E7,1.47478363553999E7,1.3202977491705932E7,1.3689677477020873E7,1.4124531755173342E7,1.3730042459261162E7,1.1999553652129196E7,
40,233.15385991876775,5.654112181818181,6.67670673274299E7,6.188489652289776E7,5.232255719736565E7,4570909.648111855,4017392.3667889033,0,2814986.1630507763,3275474.1771341735,3426984.438543048,0,0,0,0,0,0,0,0,0,755814.5676185961,813358.6904734746,901807.4143295331,0,0,0,0,0,0,0,0,0,
41,159.11699676513672,5.469403311111111,6.224841465820311E7,5.88294693514135E7,5.239912778488623E7,9547967.875132987,8346386.15922096,1.0103270383942662E7,4515661.084450426,3744891.944166517,4182818.6589392424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,282.16995668411255,3.6369211687499994,7.15470422429069E7,6.340894619494728E7,5.521671465126277E7,642922.8888085077,0,0,1626223.230062472,1620341.322187979,1620793.6177651293,4074299.5152943176,4551944.055268629,3999167.3784390483,3324568.795815634,2609823.3693501456,3249922.2567960434,817789.4663654888,883410.921478065,735467.8686488554,0,0,0,0,0,0,0,0,0,0,0,0,
43,237.1850799560547,5.63312071,1.1934375644664975E8,1.0627041017845495E8,9.402626546422452E7,1242660.0213448033,3802052.5840474647,2181912.9571688888,6083938.622767941,6910020.6586927315,7537853.538127181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880851.173363122,0,0,0,0,0,0,
44,279.1958414713542,5.479732866666667,5.964139003985881E7,5.6092080609237306E7,4.6709010758189686E7,1801679.0310943127,1477104.7764272396,2507427.9100145795,1.2331654424482371E8,1.0827809497466548E8,1.1856184209209266E8,9865697.573006032,9849718.269249555,9323530.109340377,1634397.8206756713,1534307.720107556,1337755.2529380359,1551490.6295086835,1430163.6032013556,1426622.6030564485,9270091.19022437,8539155.155615415,8515368.495826699,0,0,0,0,0,0,0,0,0,
45,263.200694492885,6.170311028571428,6.475103310767462E7,5.73092477151975E7,4.8625513524634525E7,6611037.032063733,9224215.38651423,7491768.302575259,0,1965251.5577662706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,219.17461170869714,5.6336969588235295,1.1656458996945594E8,1.0154740544985616E8,9.676624916598214E7,6975726.172686188,6707286.548159537,6302108.390847657,8909208.790972188,9244953.81857136,1.077310953857541E7,943952.8900841079,887112.0120796832,885504.3355247348,0,0,0,0,816721.68993747,757149.7119944419,1007022.3042255266,1080392.0080793705,1038765.396614394,0,0,0,0,0,0,0,0,0,
47,265.14366731189546,3.6268714619047624,6.2608077855054095E7,6.1732238025673725E7,5.5045027256107196E7,2171006.6843041643,1939339.9301931823,1566331.314839946,6666770.865488861,6309572.147842876,6599621.736814455,4806201.7932504965,2879356.23749269,2633310.25235513,1.4539307073335724E7,1.2703777503083825E7,1.5070428357331667E7,2673191.242290635,2916893.133262893,2426117.9318387858,5058053.362600447,5875098.347629208,6047313.835329562,0,0,0,0,0,0,0,0,0,
48,362.253862508138,5.156200353333333,6.761684009697309E7,6.1811624439394794E7,5.319930544657364E7,0,0,0,3500966.3994378787,3277690.7702068985,3424146.858923682,0,0,503516.3545963092,732719.544551754,816992.9064966596,488700.6858470445,427228.21130206686,368570.02533004014,0,1218669.2960046995,1009626.4520153198,1257629.825940447,0,0,0,0,0,0,0,0,0,
49,207.1745387486049,6.048170842857142,6.12662515292536E7,5.784010298990704E7,5.017519339567913E7,1200858.6619969485,710618.6009940541,0,0,353237.9819374897,330634.4126165766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,339.2166222466363,5.964580022222222,4.6876581261757985E7,4.336722789492E7,3.743549195504239E7,779202.6235176844,644385.8232367446,727611.5586239311,6430242.716515204,5581368.2596375095,5823316.519115877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,229.1225700378418,3.6891632380952384,5.308337110286397E7,5.450826872077468E7,4.495621697515447E7,4.877522153608366E7,4.8764082831047155E7,5.089239549503873E7,1.2975050885043366E7,1.1273544713650312E7,1.2399576563181762E7,5.102678254015353E7,5.433797745290303E7,5.6499478129520595E7,8.777114087852482E7,7.946680207058188E7,9.789019989437455E7,8697723.911113137,1.0902896146212067E7,9057644.164026162,2084446.4115585485,2164022.286442027,2474892.8010168956,0,0,0,0,0,0,0,0,0,
52,235.16946549849078,5.910429872727272,8.311601903093398E7,7.690579384573336E7,5.791766988968129E7,2234429.3716138066,2036872.5189705444,2160205.5602083104,1.83470513814023E7,1.74175892102911E7,3.1896375714185107E7,0,0,0,0,0,0,0,0,0,0,1338463.4967562659,1217818.7992818386,0,0,0,0,0,0,0,0,0,
53,215.1432752609253,5.7382941375,5.21867642878433E7,4.7864484995148085E7,4.448178129352698E7,5590477.822213344,4800426.955286996,5272621.442105431,9491185.62745639,0,6745247.039835065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,261.1850111219618,5.4945682,4.9144389171584204E7,4.6991934599641755E7,3.935939217784845E7,5303444.240170585,5396701.257188832,5216368.526773611,9955375.171726895,9413236.491637897,1.0597390579891007E7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,201.163819533128,5.240742776923075,7.055402681915087E7,6.5950558527916655E7,5.394057364448171E7,1.0864023398104465E7,6812551.718248882,1.2450722808400951E7,1.605760130339982E7,1.7189051807709713E7,1.2450327743036631E7,635860.9533299865,0,0,0,0,0,0,0,0,1133473.7809644872,1315619.5644134725,1225225.3705299431,0,0,0,0,0,0,0,0,0,
56,221.19019826253256,5.371771333333334,5.58448452101092E7,4.839339204362193E7,4.6452222704677016E7,1.0792986425825065E7,7247104.937685929,1.0051540737086372E7,2655868.266712823,2950084.8289137594,2961225.350435953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,333.20436668395996,5.523532199999999,5.0015708416232616E7,4.636537553238068E7,4.058052139759435E7,643834.517637005,482522.8074600962,594013.8880130257,2636983.1638326626,2109078.1785000884,2521271.3902026545,0,0,0,0,0,0,0,0,0,2383757.713213933,2337134.1549780588,2615451.038144559,0,0,0,0,0,0,0,0,0,
58,244.19094772338866,3.7917322233333337,5.332823761955485E7,5.011799909076407E7,5.016903305328986E7,5.334366194937436E7,5.545078896380779E7,5.8077321329698466E7,4.874856876100808E7,4.689667976082263E7,4.8926327488380656E7,5.647213297858561E7,5.676873277645963E7,5.487886825462614E7,3.884554786745837E7,4.0928115428776175E7,4.067275324716173E7,4.515287952967255E7,4.857736719040431E7,4.513981351213366E7,5.257023242699907E7,4.821820007372665E7,5.1310811733268E7,3.689348577902391E7,3.6902514883863375E7,3.798138198133893E7,2.879828241974377E7,2.5785117661632504E7,2.982176254920336E7,2.9366696267789446E7,3.253184306528753E7,2.8998099588037834E7,
59,279.23226651278407,6.348871354545454,7.299747194363402E7,7.19520425152598E7,6.016081515697627E7,0,1112155.6966358623,0,3.383180642686817E7,2.940727156431805E7,3.1945128265684307E7,931051.5557878888,0,0,0,0,0,0,0,0,2724944.2175879423,3347059.4724793867,3206416.16760125,0,0,0,0,0,0,0,0,0,
60,247.13312021891275,3.891509333333334,7.329900610649458E7,6.685229281381644E7,5.88972125694329E7,7.578317565110964E7,8.087992987354591E7,8.628429321513861E7,2.6481410045963585E7,2.580313840345554E7,2.7323854837104414E7,1.4589653440088072E8,1.5168491692900264E8,1.4441496649583334E8,1.0879030457676129E8,9.886122637147592E7,1.1287060294656606E8,8013333.827533926,6745154.452976632,7616496.310742244,5040163.561170277,4380894.257680364,4780984.515945513,0,0,0,0,0,0,0,0,0,
61,293.2475337982178,7.2698703875,6.197333147865011E7,5.548546323139104E7,4.708992174883312E7,1411583.39895366,1473577.1394054177,1405460.0882745367,0,1380939.8063949551,910655.6882035248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,275.16348605685766,5.317369422222222,4.462726306912055E7,4.068877968540919E7,3.554180410992217E7,0,0,0,6289240.925437004,6183854.424746537,6999479.335318385,0,0,0,0,0,0,0,0,0,594641.1209056542,540159.1451401161,524903.000446009,0,0,0,0,0,0,0,0,0,
63,219.17462158203125,5.993871064285714,5.3358517458690085E7,5.093645861161338E7,4.85389573453463E7,1736315.9782857222,1497214.2597568927,1462775.6896543705,2.193759034673102E7,1.6221302352401856E7,1.8362935649798304E7,542379.6807875162,0,0,581948.6684967186,598873.0092314769,0,0,0,0,1342982.5719190396,1119324.4143553907,0,0,0,0,0,0,0,0,0,0,
64,231.1382428337546,5.527107205882353,3.992260941378009E7,3.385098002311366E7,2.926782253353133E7,1.690635149129157E8,2.504155035461773E8,1.8627520377017274E8,2.49956203548403E7,3.162696101189866E7,3.3996295185835525E7,1533320.3833209358,1160316.6794694432,955711.1918545864,606464.7908212568,544854.2073155367,507593.7194201716,468659.2349264545,446859.580649735,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,213.1275873819987,4.116754753333334,5.328729122405465E7,4.77826497868446E7,4.1228535863600485E7,647334.8347722881,0,0,2.1638961383991364E7,2.0105570502119776E7,2.102667941431067E7,1031807.391837525,1016058.8698466234,947043.839809424,552166.7829645423,0,596164.4711263957,588952.2004185475,587258.5610113447,591167.8376766654,0,0,0,0,0,0,0,0,0,0,0,0,
